,Depth CSF-B (m),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z
16491,298.24,44.5,2.1,-3.4,13.8,14.2,16.8
16492,298.26,47.1,2.0,-3.7,15.6,16.1,19.1
16493,298.28,35.4,1.3,-2.0,8.4,8.7,10.0
16494,298.3,37.7,2.5,-1.6,9.7,9.9,11.2
16495,298.32,39.2,2.0,-1.6,10.5,10.8,12.2
16496,298.34,38.6,1.9,-1.7,10.1,10.4,11.8
16497,298.36,41.2,2.3,-2.3,11.7,12.0,13.8
16498,298.38,38.6,1.9,-1.5,10.1,10.4,11.7
16499,298.4,38.9,1.2,-1.9,10.2,10.6,12.1
16500,298.42,39.4,1.3,-2.4,10.5,10.9,12.6
16501,298.44,38.9,1.2,-1.4,10.2,10.6,11.9
16502,298.46,38.4,1.8,-2.6,10.0,10.3,12.0
16503,298.48,38.2,1.8,-2.6,9.9,10.2,11.9
16504,298.5,33.6,1.0,-1.1,7.5,7.8,8.7
16505,298.52,38.0,1.8,-2.1,9.8,10.1,11.6
16506,298.54,36.4,2.4,-2.1,9.0,9.2,10.6
16507,303.92,29.7,2.4,-3.6,6.0,6.1,7.5
16508,303.94,41.2,2.3,-0.5,11.7,12.0,13.1
16509,303.96,41.7,1.7,0.0,11.9,12.3,13.2
16510,303.98,41.4,1.6,0.0,11.7,12.1,13.0
16511,304.0,40.7,1.5,-0.1,11.3,11.7,12.6
16512,304.02,42.0,2.4,-0.9,12.2,12.5,13.8
16513,304.04,42.0,1.7,-0.4,12.1,12.5,13.6
16514,304.06,41.7,1.0,-2.0,11.8,12.3,14.0
16515,304.08,42.0,1.7,-2.4,12.1,12.5,14.4
16516,304.1,39.4,1.3,-2.4,10.5,10.9,12.6
16517,304.12,38.2,1.0,-1.0,9.8,10.2,11.3
16518,304.14,41.5,1.6,-2.0,11.8,12.2,13.9
16519,304.16,39.1,2.0,-2.4,10.4,10.7,12.4
16520,304.18,39.1,1.2,-0.8,10.3,10.7,11.8
16521,304.2,41.4,2.3,-2.5,11.8,12.1,14.0
16522,304.22,39.4,2.0,-2.4,10.6,10.9,12.6
16523,304.24,35.2,1.3,-1.8,8.3,8.6,9.8
16524,304.26,38.7,1.9,-2.2,10.2,10.5,12.1
16525,304.28,44.4,2.1,-1.3,13.7,14.1,15.7
16526,304.3,39.2,1.2,-0.8,10.4,10.8,11.9
16527,304.32,41.2,1.6,-1.0,11.6,12.0,13.3
16528,304.34,36.0,1.4,-0.7,8.7,9.0,9.9
16529,304.36,34.2,1.1,-1.6,7.8,8.1,9.2
16530,304.38,35.2,1.3,-1.8,8.3,8.6,9.8
16531,304.4,34.0,1.1,-1.0,7.7,8.0,8.9
16532,304.42,35.8,1.4,-1.7,8.6,8.9,10.1
16533,304.44,38.9,1.9,-2.5,10.3,10.6,12.3
16534,304.46,35.8,1.4,-0.4,8.6,8.9,9.7
16535,304.48,37.7,1.7,-1.9,9.6,9.9,11.3
16536,304.5,40.4,2.2,-2.7,11.2,11.5,13.4
16537,304.52,38.2,1.0,-1.5,9.8,10.2,11.5
16538,304.54,30.2,1.4,0.3,6.1,6.3,6.7
16539,304.56,35.6,1.4,-0.8,8.5,8.8,9.7
16540,304.58,34.2,1.1,-0.3,7.8,8.1,8.8
16541,304.6,33.8,2.0,-0.7,7.7,7.9,8.7
16542,304.62,38.0,1.8,0.1,9.8,10.1,10.8
16543,304.64,37.8,1.8,-0.5,9.7,10.0,10.9
16544,304.66,36.4,2.4,-1.0,9.0,9.2,10.2
16545,304.68,38.2,1.8,-1.5,9.9,10.2,11.5
16546,304.7,37.8,1.8,-1.3,9.7,10.0,11.2
16547,304.72,37.8,1.8,-1.6,9.7,10.0,11.3
16548,304.74,32.9,1.8,-1.2,7.3,7.5,8.4
16549,304.76,35.0,2.2,-1.2,8.3,8.5,9.5
16550,304.78,35.6,2.2,-1.4,8.6,8.8,9.9
16551,304.8,39.2,2.0,-1.9,10.5,10.8,12.3
16552,304.82,37.1,1.6,-1.4,9.3,9.6,10.8
16553,304.84,36.6,1.5,-1.5,9.0,9.3,10.5
16554,304.86,37.3,1.7,-2.3,9.4,9.7,11.2
16555,304.88,34.0,2.9,-2.0,7.9,8.0,9.2
16556,304.9,32.3,1.7,-1.0,7.0,7.2,8.0
16557,304.92,33.6,1.0,-1.1,7.5,7.8,8.7
16558,304.94,31.3,1.6,-0.4,6.6,6.8,7.4
16559,304.96,32.5,1.8,-0.9,7.1,7.3,8.1
16560,304.98,33.6,1.9,-1.7,7.6,7.8,8.9
16561,305.0,33.6,1.9,-2.1,7.6,7.8,9.0
16562,305.02,31.8,1.7,-1.4,6.8,7.0,7.9
16563,305.04,32.9,1.8,-1.5,7.3,7.5,8.5
16564,305.06,31.1,1.5,-0.8,6.5,6.7,7.4
16565,305.08,30.9,1.5,-0.4,6.4,6.6,7.2
16566,305.1,30.6,2.5,-0.5,6.4,6.5,7.1
16567,305.12,32.0,1.7,-0.6,6.9,7.1,7.8
16568,305.14,33.8,2.0,-0.7,7.7,7.9,8.7
16569,305.16,37.7,1.7,-1.6,9.6,9.9,11.2
16570,305.18,38.9,1.9,-1.4,10.3,10.6,11.9
16571,305.2,39.9,2.1,-2.0,10.9,11.2,12.8
16572,305.22,40.7,1.5,-2.1,11.3,11.7,13.4
16573,305.24,40.2,2.1,-1.5,11.1,11.4,12.8
16574,305.26,39.7,1.3,-1.8,10.7,11.1,12.6
16575,305.28,39.9,2.1,-2.0,10.9,11.2,12.8
16576,305.3,40.9,2.2,-1.3,11.5,11.8,13.2
16577,305.32,38.2,1.8,-0.4,9.9,10.2,11.1
16578,305.34,43.2,1.9,-2.1,12.9,13.3,15.2
16579,305.36,41.8,2.4,-1.9,12.1,12.4,14.1
16580,305.38,41.2,1.6,-1.5,11.6,12.0,13.5
16581,305.4,39.9,2.1,-0.7,10.9,11.2,12.3
16582,305.42,34.6,1.2,-0.9,8.0,8.3,9.2
16583,305.44,34.6,1.2,-1.6,8.0,8.3,9.4
16584,305.46,37.3,1.7,-2.0,9.4,9.7,11.1
16585,305.48,35.8,1.4,-1.4,8.6,8.9,10.0
16586,305.5,37.5,1.7,-2.2,9.5,9.8,11.3
16587,305.52,33.1,0.9,-1.2,7.3,7.6,8.5
16588,305.54,35.8,0.5,-0.8,8.5,8.9,9.8
16589,305.56,34.6,1.2,-0.9,8.0,8.3,9.2
16590,305.58,35.0,2.2,-2.1,8.3,8.5,9.8
16591,305.6,37.7,1.7,-1.3,9.6,9.9,11.1
16592,305.62,36.2,1.5,-1.0,8.8,9.1,10.1
16593,305.64,34.8,2.1,-0.6,8.2,8.4,9.2
16594,305.66,38.0,1.0,-0.4,9.7,10.1,11.0
16595,305.68,38.9,1.2,-0.6,10.2,10.6,11.6
16596,305.7,35.2,1.3,-0.5,8.3,8.6,9.4
16597,305.72,36.4,1.5,-0.1,8.9,9.2,9.9
16598,305.74,37.8,1.8,-1.0,9.7,10.0,11.1
16599,305.76,36.6,1.5,-0.9,9.0,9.3,10.3
16600,305.78,36.6,1.5,-1.2,9.0,9.3,10.4
16601,305.8,35.8,1.4,-0.8,8.6,8.9,9.8
16602,305.82,42.0,1.7,-2.4,12.1,12.5,14.4
16603,305.84,35.2,1.3,-0.5,8.3,8.6,9.4
16604,305.86,35.2,2.2,-0.5,8.4,8.6,9.4
16605,305.88,39.9,1.3,-0.7,10.8,11.2,12.3
16606,305.9,41.7,1.7,-1.5,11.9,12.3,13.8
16607,305.92,40.9,1.5,-1.1,11.4,11.8,13.1
16608,305.94,42.8,1.8,-0.8,12.6,13.0,14.3
16609,305.96,42.0,2.4,-0.2,12.2,12.5,13.5
16610,305.98,42.5,2.5,-0.9,12.5,12.8,14.1
16611,306.0,41.1,1.6,-0.1,11.5,11.9,12.8
16612,306.02,38.9,1.9,0.5,10.3,10.6,11.2
16613,306.04,36.7,1.6,0.9,9.1,9.4,9.8
16614,306.06,39.2,1.2,0.0,10.4,10.8,11.6
16615,306.08,39.2,1.2,-0.6,10.4,10.8,11.8
16616,306.1,36.2,0.6,0.8,8.7,9.1,9.5
16617,306.12,39.7,1.3,0.1,10.7,11.1,11.9
16618,306.14,36.2,0.6,-0.1,8.7,9.1,9.8
16619,306.16,39.2,1.2,-0.6,10.4,10.8,11.8
16620,306.18,34.4,2.1,-1.3,8.0,8.2,9.2
16621,306.2,32.7,1.8,-1.2,7.2,7.4,8.3
16622,306.22,34.4,1.1,-1.0,7.9,8.2,9.1
16623,306.24,37.1,1.6,-2.6,9.3,9.6,11.2
16624,306.26,36.7,1.6,-1.2,9.1,9.4,10.5
16625,306.28,39.2,2.0,-2.1,10.5,10.8,12.4
16626,306.3,30.6,1.5,-3.7,6.3,6.5,8.0
16627,306.32,33.6,1.0,-3.0,7.5,7.8,9.3
16628,306.34,39.2,1.2,-2.4,10.4,10.8,12.5
16629,306.36,30.2,1.4,-2.4,6.1,6.3,7.4
16630,306.38,34.4,1.1,-2.8,7.9,8.2,9.7
16631,306.4,31.6,0.6,-1.8,6.6,6.9,7.9
16632,306.42,31.3,1.6,-1.8,6.6,6.8,7.8
16633,306.44,30.2,0.3,0.3,6.0,6.3,6.7
16634,306.46,30.4,0.3,1.1,6.1,6.4,6.6
16635,306.48,33.1,1.9,-0.5,7.4,7.6,8.3
16636,306.5,35.8,1.4,-0.8,8.6,8.9,9.8
16637,306.52,37.5,0.9,-0.5,9.4,9.8,10.7
16638,306.54,38.9,1.2,-0.9,10.2,10.6,11.7
16639,306.56,34.0,1.1,-0.4,7.7,8.0,8.7
16640,306.58,38.0,1.8,-1.3,9.8,10.1,11.3
16641,306.6,38.2,1.8,-1.3,9.9,10.2,11.4
16642,306.62,36.6,1.5,-0.9,9.0,9.3,10.3
16643,306.64,39.1,2.0,-1.1,10.4,10.7,11.9
16644,306.66,38.6,1.1,-0.6,10.0,10.4,11.4
16645,306.68,31.8,0.6,0.8,6.7,7.0,7.3
16646,306.7,28.4,1.1,2.2,5.4,5.6,5.5
16647,306.72,30.2,0.3,1.5,6.0,6.3,6.4
16648,306.74,36.6,1.5,-0.6,9.0,9.3,10.2
