,Depth CSF-B (m),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z
0,0.02,25.0,4.5,6.7,4.5,4.4,3.5
1,0.025,36.9,4.9,6.8,9.6,9.5,8.1
2,0.03,25.9,4.5,4.8,4.8,4.7,4.1
3,0.04,34.2,5.7,9.2,8.3,8.1,6.2
4,0.049,43.4,3.9,3.2,13.3,13.4,13.1
5,0.05,39.9,0.6,-2.0,10.7,11.2,12.8
6,0.05,36.0,4.0,7.3,9.0,9.0,7.5
7,0.06,35.2,3.9,8.6,8.6,8.6,6.8
8,0.07,35.6,4.0,7.7,8.8,8.8,7.2
9,0.07400000000000001,38.4,3.4,4.9,10.2,10.3,9.4
10,0.08,36.9,4.1,8.9,9.5,9.5,7.5
11,0.08900000000000001,42.0,3.8,5.9,12.4,12.5,11.2
12,0.098,39.7,3.6,3.4,11.0,11.1,10.7
13,0.099,40.1,1.4,-2.5,10.9,11.3,13.1
14,0.099,39.1,3.5,7.4,10.6,10.7,9.0
15,0.109,36.0,4.8,8.0,9.1,9.0,7.3
16,0.11900000000000001,32.9,3.8,8.3,7.5,7.5,5.9
17,0.12300000000000001,42.3,3.8,3.1,12.6,12.7,12.4
18,0.129,31.8,4.7,7.7,7.1,7.0,5.6
19,0.139,30.9,3.6,8.4,6.6,6.6,5.1
20,0.147,37.3,4.1,7.0,9.7,9.7,8.2
21,0.149,44.1,1.4,-4.0,13.4,13.9,16.7
22,0.149,30.2,3.6,9.6,6.3,6.3,4.6
23,0.159,33.6,2.9,9.0,7.7,7.8,6.0
24,0.16899999999999998,34.2,4.8,8.4,8.2,8.1,6.4
25,0.172,31.3,3.6,8.7,6.8,6.8,5.2
26,0.179,35.4,3.1,7.0,8.6,8.7,7.3
27,0.18899999999999997,36.0,4.0,8.8,9.0,9.0,7.1
28,0.196,28.6,3.4,6.5,5.7,5.7,4.7
29,0.19899999999999998,38.7,4.2,6.8,10.5,10.5,9.0
30,0.19899999999999998,40.6,0.7,-1.9,11.1,11.6,13.2
31,0.209,34.2,3.9,11.4,8.1,8.1,5.7
32,0.21899999999999997,35.0,3.0,9.4,8.4,8.5,6.5
33,0.221,32.0,3.7,7.2,7.1,7.1,5.8
34,0.22899999999999998,35.2,3.9,8.6,8.6,8.6,6.8
35,0.239,35.8,4.0,8.0,8.9,8.9,7.2
36,0.245,31.1,2.6,6.1,6.6,6.7,5.7
37,0.248,42.0,1.0,-2.1,12.0,12.5,14.3
38,0.249,34.8,3.0,6.0,8.3,8.4,7.3
39,0.258,31.8,2.7,4.7,6.9,7.0,6.3
40,0.268,33.8,2.9,5.3,7.8,7.9,7.0
41,0.27,32.5,2.8,5.1,7.2,7.3,6.5
42,0.278,34.6,3.0,6.7,8.2,8.3,7.0
43,0.28800000000000003,35.0,3.0,5.9,8.4,8.5,7.4
44,0.294,30.4,2.5,6.2,6.3,6.4,5.4
45,0.298,36.2,2.3,6.2,8.9,9.1,7.9
46,0.298,40.6,1.5,-1.7,11.2,11.6,13.1
47,0.308,34.8,2.1,6.3,8.2,8.4,7.2
48,0.318,32.9,2.8,5.0,7.4,7.5,6.7
49,0.319,31.3,2.6,6.5,6.7,6.8,5.7
50,0.32799999999999996,34.0,2.0,7.6,7.8,8.0,6.5
51,0.33799999999999997,29.9,2.4,7.7,6.1,6.2,4.9
52,0.34299999999999997,34.2,3.0,7.6,8.0,8.1,6.6
53,0.348,39.7,1.3,-1.3,10.7,11.1,12.4
54,0.348,29.4,2.4,2.3,5.9,6.0,5.9
55,0.358,26.4,2.0,5.3,4.8,4.9,4.2
56,0.368,35.8,3.1,6.6,8.8,8.9,7.6
57,0.368,31.1,2.6,7.0,6.6,6.7,5.5
58,0.37799999999999995,33.4,2.9,7.0,7.6,7.7,6.4
59,0.38799999999999996,29.9,2.4,4.9,6.1,6.2,5.5
60,0.39299999999999996,34.2,3.0,6.4,8.0,8.1,6.9
61,0.39799999999999996,32.3,2.7,4.7,7.1,7.2,6.5
62,0.408,35.8,3.1,7.7,8.8,8.9,7.3
63,0.41700000000000004,34.4,3.0,8.4,8.1,8.2,6.5
64,0.41700000000000004,38.6,2.7,2.8,10.2,10.4,10.2
65,0.42700000000000005,34.0,2.9,9.3,7.9,8.0,6.1
66,0.43700000000000006,33.6,2.9,8.6,7.7,7.8,6.1
67,0.442,34.0,2.9,6.5,7.9,8.0,6.8
68,0.447,33.8,2.9,9.4,7.8,7.9,6.0
69,0.457,33.6,2.9,9.4,7.7,7.8,5.9
70,0.466,33.8,2.0,4.9,7.7,7.9,7.1
71,0.467,33.4,3.8,8.6,7.7,7.7,6.0
72,0.47700000000000004,33.4,2.9,9.5,7.6,7.7,5.8
73,0.48700000000000004,34.0,2.9,8.5,7.9,8.0,6.3
74,0.491,38.7,2.7,3.7,10.3,10.5,10.0
75,0.49700000000000005,34.4,3.0,6.4,8.1,8.2,7.0
76,0.507,34.2,3.0,4.9,8.0,8.1,7.3
77,0.515,43.8,2.7,1.2,13.4,13.7,14.2
78,0.517,36.4,3.2,3.7,9.1,9.2,8.7
79,0.527,37.7,2.5,1.9,9.7,9.9,10.0
80,0.537,38.4,1.8,2.2,10.0,10.3,10.3
81,0.54,42.6,2.5,2.4,12.6,12.9,12.9
82,0.547,36.4,2.4,1.2,9.0,9.2,9.5
83,0.547,33.8,1.0,-1.1,7.6,7.9,8.8
84,0.557,39.2,2.7,3.1,10.6,10.8,10.5
85,0.564,40.4,2.2,3.7,11.2,11.5,11.0
86,0.5670000000000001,37.8,2.6,4.7,9.8,10.0,9.2
87,0.5770000000000001,38.9,2.7,3.7,10.4,10.6,10.1
88,0.586,40.1,2.9,3.4,11.1,11.3,10.9
89,0.589,42.2,2.4,2.1,12.3,12.6,12.7
90,0.596,41.7,3.1,2.6,12.1,12.3,12.2
91,0.597,40.1,1.4,-0.2,10.9,11.3,12.2
92,0.606,41.7,2.4,2.3,12.0,12.3,12.3
93,0.613,35.6,2.2,4.5,8.6,8.8,8.1
94,0.616,41.8,3.1,1.8,12.2,12.4,12.6
95,0.626,42.0,2.4,2.3,12.2,12.5,12.5
96,0.636,41.7,3.1,2.1,12.1,12.3,12.4
97,0.638,34.8,1.2,3.4,8.1,8.4,8.0
98,0.6459999999999999,41.8,2.4,2.6,12.1,12.4,12.3
99,0.6459999999999999,43.1,1.9,-1.0,12.8,13.2,14.6
100,0.6559999999999999,42.8,2.5,2.6,12.7,13.0,12.9
101,0.662,40.4,1.4,1.5,11.1,11.5,11.8
102,0.6659999999999999,43.1,2.6,2.6,12.9,13.2,13.1
103,0.6759999999999999,42.6,3.2,1.6,12.7,12.9,13.2
104,0.6859999999999999,40.6,2.2,3.1,11.3,11.6,11.3
105,0.687,40.1,1.4,0.9,10.9,11.3,11.8
106,0.696,41.8,2.4,3.1,12.1,12.4,12.1
107,0.696,42.9,1.2,-0.3,12.6,13.1,14.2
108,0.706,36.7,2.4,3.7,9.2,9.4,8.9
109,0.711,33.1,0.9,2.4,7.3,7.6,7.5
110,0.716,37.7,1.7,4.4,9.6,9.9,9.2
111,0.726,36.0,1.4,4.1,8.7,9.0,8.4
112,0.736,35.2,0.4,1.7,8.2,8.6,8.7
113,0.736,42.2,1.1,0.8,12.1,12.6,13.2
114,0.746,40.2,2.1,1.2,11.1,11.4,11.8
115,0.746,41.1,1.6,-0.8,11.5,11.9,13.1
116,0.755,38.6,1.1,2.5,10.0,10.4,10.3
117,0.76,34.4,1.1,2.7,7.9,8.2,8.0
118,0.765,37.8,1.8,2.8,9.7,10.0,9.8
119,0.775,35.6,1.4,1.4,8.5,8.8,9.0
120,0.785,34.4,1.1,2.7,7.9,8.2,8.0
121,0.785,36.2,0.6,1.8,8.7,9.1,9.2
122,0.795,34.2,1.1,2.0,7.8,8.1,8.1
123,0.7959999999999999,42.3,1.8,-0.4,12.3,12.7,13.8
124,0.805,32.5,0.8,2.7,7.0,7.3,7.1
125,0.81,34.4,1.1,2.4,7.9,8.2,8.1
126,0.815,32.7,0.8,3.1,7.1,7.4,7.1
127,0.825,32.7,0.8,3.1,7.1,7.4,7.1
128,0.8340000000000001,39.4,0.5,0.8,10.4,10.9,11.4
129,0.835,32.7,0.8,2.3,7.1,7.4,7.3
130,0.845,33.4,0.0,3.1,7.3,7.7,7.4
131,0.846,43.5,0.7,-0.7,12.9,13.5,14.8
132,0.855,32.7,0.8,2.3,7.1,7.4,7.3
133,0.8590000000000001,33.4,0.9,0.9,7.4,7.7,8.0
134,0.865,34.6,1.2,1.7,8.0,8.3,8.4
135,0.875,34.4,0.2,2.7,7.8,8.2,8.0
136,0.883,36.7,0.7,0.6,9.0,9.4,9.9
137,0.885,34.6,1.2,2.0,8.0,8.3,8.3
138,0.895,34.8,0.3,2.7,8.0,8.4,8.2
139,0.905,32.9,-0.1,3.5,7.1,7.5,7.1
140,0.9079999999999999,33.6,0.0,0.9,7.4,7.8,8.1
141,0.914,32.9,-0.1,3.5,7.1,7.5,7.1
142,0.924,32.9,0.9,2.7,7.2,7.5,7.3
143,0.932,32.7,0.8,0.9,7.1,7.4,7.7
144,0.934,34.0,0.1,3.1,7.6,8.0,7.7
145,0.9440000000000001,34.6,0.3,3.4,7.9,8.3,7.9
146,0.9540000000000001,35.2,0.4,2.7,8.2,8.6,8.4
147,0.9570000000000001,32.3,0.7,0.1,6.9,7.2,7.7
148,0.9640000000000001,35.2,1.3,2.7,8.3,8.6,8.4
149,0.9740000000000001,35.8,0.5,2.4,8.5,8.9,8.8
150,0.981,32.0,0.7,0.1,6.8,7.1,7.6
151,0.9840000000000001,36.4,0.7,1.8,8.8,9.2,9.3
152,0.9940000000000001,36.2,0.6,2.4,8.7,9.1,9.0
153,1.004,33.1,0.9,1.3,7.3,7.6,7.8
154,1.006,31.8,0.6,-0.3,6.7,7.0,7.6
155,1.008,31.3,0.5,0.4,6.5,6.8,7.2
156,1.014,32.3,-0.3,2.3,6.8,7.2,7.1
157,1.024,33.1,0.9,1.6,7.3,7.6,7.7
158,1.03,31.8,0.6,0.4,6.7,7.0,7.4
159,1.032,33.8,0.1,-0.1,7.5,7.9,8.5
160,1.034,32.5,-0.2,1.6,6.9,7.3,7.4
161,1.044,32.9,0.9,1.6,7.2,7.5,7.6
162,1.045,38.7,1.1,-0.6,10.1,10.5,11.5
163,1.054,30.9,0.4,1.1,6.3,6.6,6.8
164,1.055,33.8,1.0,0.3,7.6,7.9,8.4
165,1.057,33.4,0.9,0.6,7.4,7.7,8.1
166,1.064,30.9,0.4,2.3,6.3,6.6,6.5
167,1.074,30.6,0.4,3.1,6.2,6.5,6.2
168,1.079,35.2,1.3,-0.8,8.3,8.6,9.5
169,1.081,32.7,0.8,1.2,7.1,7.4,7.6
170,1.083,29.4,0.1,3.1,5.7,6.0,5.7
171,1.093,27.8,1.0,1.8,5.2,5.4,5.4
172,1.094,40.7,0.8,-0.4,11.2,11.7,12.7
173,1.103,31.8,0.6,2.3,6.7,7.0,6.9
174,1.104,34.4,1.1,0.3,7.9,8.2,8.7
175,1.1059999999999999,35.4,0.4,0.1,8.3,8.7,9.3
176,1.113,33.6,1.0,0.6,7.5,7.8,8.2
177,1.123,33.8,0.1,1.3,7.5,7.9,8.1
178,1.128,34.6,0.3,0.4,7.9,8.3,8.8
179,1.13,33.6,1.0,-0.1,7.5,7.8,8.4
180,1.133,33.8,0.1,1.0,7.5,7.9,8.2
181,1.143,33.4,0.0,0.2,7.3,7.7,8.2
182,1.1440000000000001,37.1,0.8,-1.7,9.2,9.6,10.9
183,1.153,33.8,1.0,0.3,7.6,7.9,8.4
184,1.153,31.8,-0.4,0.4,6.6,7.0,7.4
185,1.155,34.2,0.2,0.3,7.7,8.1,8.6
186,1.163,30.9,0.4,1.9,6.3,6.6,6.6
187,1.173,32.9,-0.1,0.9,7.1,7.5,7.8
188,1.177,34.6,1.2,-0.9,8.0,8.3,9.2
189,1.179,34.4,0.2,0.3,7.8,8.2,8.7
190,1.183,32.7,0.8,0.2,7.1,7.4,7.9
191,1.193,32.5,-0.2,0.9,6.9,7.3,7.6
192,1.194,40.6,0.7,-1.4,11.1,11.6,13.0
193,1.202,38.7,1.1,0.8,10.1,10.5,11.0
194,1.203,32.9,-0.1,0.5,7.1,7.5,7.9
195,1.204,34.0,1.1,2.0,7.7,8.0,8.0
196,1.213,32.3,0.7,0.5,6.9,7.2,7.6
197,1.2229999999999999,32.3,-0.3,0.5,6.8,7.2,7.6
198,1.228,35.0,0.4,1.7,8.1,8.5,8.6
199,1.2329999999999999,32.7,-0.2,0.9,7.0,7.4,7.7
200,1.2429999999999999,32.9,0.9,0.2,7.2,7.5,8.0
201,1.244,38.0,1.0,-1.0,9.7,10.1,11.2
202,1.252,31.8,0.6,0.8,6.7,7.0,7.3
203,1.253,36.4,0.7,1.2,8.8,9.2,9.5
204,1.262,32.0,-0.3,0.8,6.7,7.1,7.4
205,1.272,32.5,-0.2,0.5,6.9,7.3,7.7
206,1.276,34.2,1.1,0.3,7.8,8.1,8.6
207,1.278,35.0,0.4,1.1,8.1,8.5,8.8
208,1.2819999999999998,39.4,0.5,-0.5,10.4,10.9,11.9
209,1.285,36.6,1.5,0.3,9.0,9.3,9.9
210,1.2919999999999998,40.2,0.7,-0.9,10.9,11.4,12.6
211,1.2930000000000001,35.0,1.3,-0.9,8.2,8.5,9.4
212,1.295,41.5,0.9,0.3,11.7,12.2,13.0
213,1.3019999999999998,39.4,1.3,-1.6,10.5,10.9,12.3
214,1.3019999999999998,35.2,1.3,1.4,8.3,8.6,8.8
215,1.305,37.7,0.9,0.7,9.5,9.9,10.4
216,1.3119999999999998,42.3,1.1,-1.6,12.2,12.7,14.3
217,1.315,37.3,0.8,1.5,9.3,9.7,9.9
218,1.3219999999999998,40.1,1.4,-1.0,10.9,11.3,12.5
219,1.325,36.9,1.6,1.2,9.2,9.5,9.8
220,1.327,37.3,1.7,0.6,9.4,9.7,10.2
221,1.3319999999999999,38.2,0.2,0.2,9.7,10.2,10.9
222,1.335,38.0,0.2,1.9,9.6,10.1,10.2
223,1.3419999999999999,41.8,1.0,-1.4,11.9,12.4,13.9
224,1.3430000000000002,39.1,1.2,-1.7,10.3,10.7,12.1
225,1.344,38.7,0.3,1.6,10.0,10.5,10.7
226,1.351,37.1,0.0,1.2,9.1,9.6,9.9
227,1.3519999999999999,39.6,1.3,-0.8,10.6,11.0,12.1
228,1.354,43.2,1.3,-0.8,12.8,13.3,14.6
229,1.3619999999999999,35.0,0.4,2.4,8.1,8.5,8.4
230,1.364,36.4,0.7,2.4,8.8,9.2,9.1
231,1.3719999999999999,36.4,0.7,1.8,8.8,9.2,9.3
232,1.374,36.2,0.6,2.8,8.7,9.1,8.9
233,1.382,36.0,0.6,1.5,8.6,9.0,9.2
234,1.3840000000000001,38.7,1.1,-0.6,10.1,10.5,11.5
235,1.392,34.6,0.3,2.0,7.9,8.3,8.3
236,1.393,38.6,1.1,0.8,10.0,10.4,10.9
237,1.402,36.9,0.8,1.2,9.1,9.5,9.8
238,1.403,38.6,1.1,2.2,10.0,10.4,10.4
239,1.411,36.6,0.7,1.2,8.9,9.3,9.6
240,1.413,36.9,0.8,2.5,9.1,9.5,9.4
241,1.421,36.9,0.8,0.9,9.1,9.5,9.9
242,1.423,37.1,0.8,2.5,9.2,9.6,9.5
243,1.431,36.6,1.5,0.6,9.0,9.3,9.8
244,1.433,35.0,0.4,3.1,8.1,8.5,8.2
245,1.4409999999999998,36.0,0.6,0.8,8.6,9.0,9.4
246,1.442,36.0,0.6,2.4,8.6,9.0,8.9
247,1.4509999999999998,36.2,1.5,0.8,8.8,9.1,9.5
248,1.452,35.2,1.3,2.4,8.3,8.6,8.5
249,1.4609999999999999,37.8,1.0,-0.5,9.6,10.0,10.9
250,1.462,36.0,1.4,2.1,8.7,9.0,9.0
251,1.4709999999999999,36.2,1.5,-0.1,8.8,9.1,9.8
252,1.472,36.9,0.8,2.8,9.1,9.5,9.3
253,1.4809999999999999,35.0,1.3,0.7,8.2,8.5,8.9
254,1.482,36.6,1.5,2.1,9.0,9.3,9.3
255,1.492,35.2,1.3,2.4,8.3,8.6,8.5
256,1.499,36.6,1.5,2.1,9.0,9.3,9.3
257,1.501,33.8,1.0,3.5,7.6,7.9,7.5
258,1.511,37.1,0.8,-0.9,9.2,9.6,10.6
259,1.511,33.8,1.0,3.5,7.6,7.9,7.5
260,1.521,35.6,1.4,3.4,8.5,8.8,8.4
261,1.521,38.4,1.1,-1.8,9.9,10.3,11.7
262,1.5230000000000001,34.2,2.0,1.7,7.9,8.1,8.2
263,1.531,35.8,0.5,0.5,8.5,8.9,9.4
264,1.531,37.5,1.7,1.9,9.5,9.8,9.9
265,1.541,36.0,1.4,3.4,8.7,9.0,8.6
266,1.541,35.0,1.3,0.7,8.2,8.5,8.9
267,1.5419999999999998,43.5,1.3,-1.4,13.0,13.5,15.1
268,1.548,34.0,2.0,3.1,7.8,8.0,7.7
269,1.55,35.6,1.4,2.4,8.5,8.8,8.7
270,1.551,36.0,1.4,0.2,8.7,9.0,9.6
271,1.56,37.3,1.7,3.1,9.4,9.7,9.4
272,1.561,35.0,0.4,2.4,8.1,8.5,8.4
273,1.57,34.8,1.2,2.1,8.1,8.4,8.4
274,1.57,35.6,1.4,2.4,8.5,8.8,8.7
275,1.5719999999999998,35.6,1.4,2.1,8.5,8.8,8.8
276,1.58,35.0,0.4,3.4,8.1,8.5,8.1
277,1.58,36.2,0.6,0.2,8.7,9.1,9.7
278,1.59,35.8,1.4,3.1,8.6,8.9,8.6
279,1.59,38.9,1.2,1.6,10.2,10.6,10.8
280,1.591,43.7,1.3,-0.7,13.1,13.6,14.9
281,1.597,35.0,2.2,1.7,8.3,8.5,8.6
282,1.599,35.4,1.3,1.7,8.4,8.7,8.8
283,1.6,35.8,2.3,0.5,8.7,8.9,9.4
284,1.609,35.4,1.3,2.7,8.4,8.7,8.5
285,1.61,36.0,2.3,1.1,8.8,9.0,9.3
286,1.619,36.4,1.5,1.8,8.9,9.2,9.3
287,1.62,35.8,0.5,2.4,8.5,8.9,8.8
288,1.6219999999999999,35.6,1.4,1.1,8.5,8.8,9.1
289,1.629,38.6,1.1,2.5,10.0,10.4,10.3
290,1.63,36.7,0.7,2.4,9.0,9.4,9.3
291,1.639,41.8,1.7,0.0,12.0,12.4,13.3
292,1.64,36.6,1.5,1.2,9.0,9.3,9.6
293,1.641,43.1,1.2,-2.6,12.7,13.2,15.3
294,1.646,33.4,0.9,1.6,7.4,7.7,7.8
295,1.649,41.5,2.3,-0.5,11.9,12.2,13.3
296,1.65,39.4,2.0,3.4,10.6,10.9,10.5
297,1.6580000000000001,38.9,1.2,1.9,10.2,10.6,10.7
298,1.66,37.3,1.7,2.5,9.4,9.7,9.6
299,1.6680000000000001,38.4,1.8,2.2,10.0,10.3,10.3
300,1.67,36.2,1.5,1.5,8.8,9.1,9.3
301,1.671,39.4,1.3,2.0,10.5,10.9,11.0
302,1.6780000000000002,37.5,2.5,0.4,9.6,9.8,10.4
303,1.68,36.9,1.6,3.4,9.2,9.5,9.1
304,1.6880000000000002,36.9,1.6,0.9,9.2,9.5,9.9
305,1.69,36.2,1.5,3.7,8.8,9.1,8.6
306,1.6909999999999998,40.6,0.7,-1.4,11.1,11.6,13.0
307,1.695,36.9,0.8,1.8,9.1,9.5,9.6
308,1.6980000000000002,37.3,0.8,0.6,9.3,9.7,10.2
309,1.7,34.8,1.2,3.8,8.1,8.4,7.9
310,1.7069999999999999,38.7,0.3,0.8,10.0,10.5,11.0
311,1.709,37.5,0.9,4.4,9.4,9.8,9.1
312,1.7169999999999999,39.2,0.5,0.3,10.3,10.8,11.5
313,1.719,42.5,2.5,3.7,12.5,12.8,12.3
314,1.72,44.2,2.1,2.7,13.6,14.0,13.9
315,1.7269999999999999,37.1,0.8,-0.3,9.2,9.6,10.4
316,1.729,39.6,2.0,2.8,10.7,11.0,10.8
317,1.7369999999999999,34.6,1.2,1.4,8.0,8.3,8.5
318,1.739,36.7,1.6,4.4,9.1,9.4,8.7
319,1.74,42.0,1.0,-0.9,12.0,12.5,13.8
320,1.745,37.7,0.9,0.4,9.5,9.9,10.5
321,1.7469999999999999,37.5,1.7,-1.7,9.5,9.8,11.1
322,1.749,37.5,1.7,4.0,9.5,9.8,9.2
323,1.756,37.8,1.0,-0.5,9.6,10.0,10.9
324,1.7590000000000001,36.7,1.6,2.8,9.1,9.4,9.2
325,1.766,33.1,0.9,0.2,7.3,7.6,8.1
326,1.7690000000000001,36.0,0.6,4.1,8.6,9.0,8.4
327,1.7690000000000001,41.4,0.9,-1.5,11.6,12.1,13.6
328,1.776,34.6,1.2,0.0,8.0,8.3,8.9
329,1.7790000000000001,36.6,0.7,3.1,8.9,9.3,9.0
330,1.786,36.6,0.7,0.6,8.9,9.3,9.8
331,1.7890000000000001,35.8,1.4,2.4,8.6,8.9,8.8
332,1.79,39.1,0.4,-0.3,10.2,10.7,11.6
333,1.794,40.9,0.8,0.4,11.3,11.8,12.5
334,1.796,36.6,1.5,-0.3,9.0,9.3,10.1
335,1.7990000000000002,35.0,0.4,2.7,8.1,8.5,8.3
336,1.806,36.2,0.6,0.8,8.7,9.1,9.5
337,1.8090000000000002,34.0,1.1,2.4,7.7,8.0,7.9
338,1.815,36.4,1.5,0.2,8.9,9.2,9.8
339,1.818,41.1,0.8,-0.6,11.4,11.9,13.0
340,1.819,33.4,0.9,2.4,7.4,7.7,7.6
341,1.825,36.9,0.8,0.0,9.1,9.5,10.2
342,1.829,33.1,0.9,3.8,7.3,7.6,7.1
343,1.835,38.2,1.0,1.3,9.8,10.2,10.5
344,1.839,34.2,1.1,3.1,7.8,8.1,7.8
345,1.84,37.7,0.9,0.1,9.5,9.9,10.6
346,1.8430000000000002,30.6,0.4,0.7,6.2,6.5,6.8
347,1.845,41.1,1.6,0.7,11.5,11.9,12.5
348,1.848,32.9,1.8,2.7,7.3,7.5,7.3
349,1.855,39.9,2.1,1.4,10.9,11.2,11.5
350,1.858,34.6,1.2,3.4,8.0,8.3,7.9
351,1.864,38.2,1.8,1.0,9.9,10.2,10.6
352,1.868,35.8,1.4,4.1,8.6,8.9,8.3
353,1.874,33.6,1.9,-3.0,7.6,7.8,9.3
354,1.8780000000000001,36.0,1.4,2.4,8.7,9.0,8.9
355,1.8840000000000001,36.0,1.4,0.8,8.7,9.0,9.4
356,1.8880000000000001,36.7,0.7,3.1,9.0,9.4,9.1
357,1.8940000000000001,38.4,1.8,-1.5,10.0,10.3,11.6
358,1.8980000000000001,36.2,0.6,2.1,8.7,9.1,9.1
359,1.9040000000000001,29.4,2.4,-3.3,5.9,6.0,7.3
360,1.9080000000000001,37.5,0.9,0.4,9.4,9.8,10.4
361,1.913,29.4,1.3,2.3,5.8,6.0,5.9
362,1.9180000000000001,37.5,0.9,1.0,9.4,9.8,10.2
363,1.923,35.4,1.3,2.1,8.4,8.7,8.7
364,1.9280000000000002,38.2,1.0,0.7,9.8,10.2,10.7
365,1.933,32.7,1.8,0.5,7.2,7.4,7.8
366,1.9380000000000002,38.6,0.3,1.0,9.9,10.4,10.8
367,1.943,32.0,1.7,1.2,6.9,7.1,7.3
368,1.9480000000000002,38.2,1.0,0.7,9.8,10.2,10.7
369,1.953,36.9,1.6,2.5,9.2,9.5,9.4
370,1.9580000000000002,37.1,0.8,1.8,9.2,9.6,9.7
371,1.963,36.6,1.5,0.9,9.0,9.3,9.7
372,1.9680000000000002,35.8,-0.4,2.8,8.4,8.9,8.7
373,1.972,36.0,0.6,2.1,8.6,9.0,9.0
374,1.9780000000000002,35.4,0.4,2.1,8.3,8.7,8.7
375,1.982,32.3,0.7,1.2,6.9,7.2,7.4
376,1.9880000000000002,36.2,-0.3,2.8,8.6,9.1,8.9
377,1.9909999999999999,33.1,0.9,0.9,7.3,7.6,7.9
378,1.992,35.0,0.4,1.1,8.1,8.5,8.8
379,1.9969999999999999,36.2,0.6,2.8,8.7,9.1,8.9
380,2.002,34.8,-0.6,1.7,7.9,8.4,8.5
381,2.0069999999999997,37.5,0.9,1.3,9.4,9.8,10.1
382,2.012,33.1,0.9,2.4,7.3,7.6,7.5
383,2.015,32.0,0.7,2.3,6.8,7.1,7.0
384,2.017,39.4,0.5,1.7,10.4,10.9,11.1
385,2.021,34.2,2.0,0.0,7.9,8.1,8.7
386,2.0269999999999997,37.5,0.9,2.2,9.4,9.8,9.8
387,2.031,32.7,1.8,2.0,7.2,7.4,7.4
388,2.037,37.5,0.9,1.9,9.4,9.8,9.9
389,2.039,41.2,1.6,-1.3,11.6,12.0,13.4
390,2.04,32.0,1.7,1.2,6.9,7.1,7.3
391,2.041,35.0,1.3,1.4,8.2,8.5,8.7
392,2.0469999999999997,37.3,0.8,1.5,9.3,9.7,9.9
393,2.051,33.1,1.9,2.4,7.4,7.6,7.5
394,2.057,36.9,-0.1,2.8,9.0,9.5,9.3
395,2.061,32.3,0.7,2.3,6.9,7.2,7.1
396,2.064,31.1,1.5,0.4,6.5,6.7,7.1
397,2.0669999999999997,37.5,0.1,1.9,9.3,9.8,9.9
398,2.0709999999999997,31.8,0.6,0.8,6.7,7.0,7.3
399,2.077,37.3,0.8,1.2,9.3,9.7,10.0
400,2.08,34.4,2.1,-0.3,8.0,8.2,8.9
401,2.0869999999999997,38.7,1.1,2.8,10.1,10.5,10.3
402,2.089,31.1,0.5,1.1,6.4,6.7,6.9
403,2.089,42.6,1.1,-1.6,12.4,12.9,14.5
404,2.09,35.8,1.4,-0.1,8.6,8.9,9.6
405,2.097,36.0,1.4,2.4,8.7,9.0,8.9
406,2.1,32.3,1.7,-0.6,7.0,7.2,7.9
407,2.1069999999999998,35.6,1.4,1.4,8.5,8.8,9.0
408,2.11,33.8,2.0,-0.4,7.7,7.9,8.6
409,2.114,27.6,0.9,-0.5,5.1,5.3,5.8
410,2.117,33.1,0.9,3.1,7.3,7.6,7.3
411,2.12,32.5,0.8,1.2,7.0,7.3,7.5
412,2.127,33.4,0.9,2.7,7.4,7.7,7.5
413,2.129,24.3,1.7,1.1,4.1,4.2,4.3
414,2.136,35.2,1.3,1.7,8.3,8.6,8.7
415,2.138,29.7,1.3,-1.0,5.9,6.1,6.8
416,2.138,42.9,1.2,-1.5,12.6,13.1,14.7
417,2.1390000000000002,28.4,1.1,1.4,5.4,5.6,5.7
418,2.146,37.5,0.9,2.2,9.4,9.8,9.8
419,2.149,29.2,1.2,1.0,5.7,5.9,6.1
420,2.156,35.2,1.3,2.4,8.3,8.6,8.5
421,2.1590000000000003,33.8,1.0,0.3,7.6,7.9,8.4
422,2.1630000000000003,23.7,1.6,-1.1,3.9,4.0,4.5
423,2.166,32.5,1.8,2.3,7.1,7.3,7.2
424,2.169,34.0,1.1,0.6,7.7,8.0,8.4
425,2.176,34.6,0.3,3.1,7.9,8.3,8.0
426,2.178,33.6,0.0,0.9,7.4,7.8,8.1
427,2.186,37.1,1.6,2.1,9.3,9.6,9.6
428,2.187,32.3,0.7,0.5,6.9,7.2,7.6
429,2.188,43.4,1.3,-1.4,12.9,13.4,15.0
430,2.188,29.7,1.3,0.6,5.9,6.1,6.4
431,2.1959999999999997,37.8,1.0,1.0,9.6,10.0,10.4
432,2.198,36.2,0.6,1.2,8.7,9.1,9.4
433,2.206,35.8,1.4,1.8,8.6,8.9,9.0
434,2.208,38.2,1.0,-0.1,9.8,10.2,11.0
435,2.2119999999999997,35.0,1.3,0.1,8.2,8.5,9.1
436,2.2159999999999997,32.9,0.9,2.0,7.2,7.5,7.5
437,2.218,41.2,1.6,-1.3,11.6,12.0,13.4
438,2.226,30.2,1.4,2.3,6.1,6.3,6.2
439,2.228,42.2,1.7,-1.4,12.2,12.6,14.1
440,2.2359999999999998,32.0,0.7,2.7,6.8,7.1,6.9
