,Depth CSF-B (m),Bulk density (GRA)
218,1.685,1.435
219,1.6980000000000002,1.4
220,1.7069999999999999,1.246
221,1.71,1.469
222,1.71,1.548
223,1.723,1.364
224,1.732,1.3119999999999998
225,1.734,1.537
226,1.734,1.551
227,1.7480000000000002,1.238
228,1.756,1.433
229,1.7590000000000001,1.4880000000000002
230,1.7590000000000001,1.412
231,1.7730000000000001,1.3
232,1.781,1.433
233,1.7830000000000001,1.479
234,1.784,1.4509999999999998
235,1.797,1.2890000000000001
236,1.805,1.4040000000000001
237,1.808,1.429
238,1.8090000000000002,1.442
239,1.8219999999999998,1.329
240,1.83,1.2570000000000001
241,1.8330000000000002,1.6540000000000001
242,1.834,1.3880000000000001
243,1.847,1.25
244,1.854,1.288
245,1.857,1.485
246,1.859,1.43
247,1.8719999999999999,1.189
248,1.879,1.318
249,1.883,1.526
250,1.903,1.392
251,1.9080000000000001,1.435
252,1.9280000000000002,1.3330000000000002
253,1.933,1.5390000000000001
254,1.952,1.3359999999999999
255,1.9580000000000002,1.416
256,1.9680000000000002,1.242
257,1.9769999999999999,1.361
258,1.983,1.459
259,1.993,1.3630000000000002
260,2.0,1.4080000000000001
261,2.002,1.3619999999999999
262,2.008,1.546
263,2.0180000000000002,1.354
264,2.025,1.357
265,2.026,1.3230000000000002
266,2.032,1.431
267,2.042,1.389
268,2.05,1.375
269,2.051,1.335
270,2.057,1.4880000000000002
271,2.0669999999999997,1.3780000000000001
272,2.075,1.399
273,2.075,1.399
274,2.082,1.517
275,2.0909999999999997,1.473
276,2.099,1.37
277,2.1,1.4
278,2.1069999999999998,1.433
279,2.116,1.493
280,2.124,1.432
281,2.124,1.381
282,2.1319999999999997,1.395
283,2.141,1.5119999999999998
284,2.149,1.32
285,2.149,1.4469999999999998
286,2.157,1.405
287,2.165,1.6
288,2.173,1.4280000000000002
289,2.174,1.3130000000000002
290,2.181,1.4069999999999998
291,2.19,1.473
292,2.198,1.405
293,2.199,1.335
294,2.206,1.385
295,2.214,1.45
296,2.222,1.357
297,2.224,1.3319999999999999
298,2.231,1.3780000000000001
299,2.239,1.423
300,2.247,1.393
301,2.249,1.337
302,2.256,1.402
303,2.263,1.459
304,2.271,1.415
305,2.274,1.198
306,2.28,1.463
307,2.2880000000000003,1.452
308,2.296,1.57
309,2.299,1.381
310,2.305,1.4380000000000002
311,2.313,1.58
312,2.32,1.631
313,2.323,1.455
314,2.33,1.453
315,2.3369999999999997,1.565
316,2.345,1.358
317,2.3480000000000003,1.55
318,2.355,1.528
319,2.362,1.3840000000000001
320,2.37,1.367
321,2.373,1.043
322,2.38,1.5130000000000001
323,2.394,1.33
324,2.405,1.484
325,2.419,1.395
326,2.4290000000000003,1.4680000000000002
327,2.443,1.403
328,2.454,1.4180000000000001
329,2.4619999999999997,1.45
330,2.468,1.433
331,2.479,1.2890000000000001
332,2.487,1.433
333,2.492,1.4269999999999998
334,2.494,1.3330000000000002
335,2.496,1.474
336,2.511,1.4509999999999998
337,2.517,1.381
338,2.5180000000000002,1.347
339,2.521,1.474
340,2.536,1.492
341,2.541,1.383
342,2.543,1.319
343,2.546,1.466
344,2.56,1.449
345,2.5660000000000003,1.433
346,2.568,1.36
347,2.57,1.469
348,2.585,1.436
349,2.59,1.5030000000000001
350,2.593,1.3330000000000002
351,2.595,1.4509999999999998
352,2.609,1.469
353,2.615,1.518
354,2.6180000000000003,1.345
355,2.62,1.505
356,2.634,1.493
357,2.639,1.555
358,2.642,1.421
359,2.645,1.561
360,2.658,1.5230000000000001
361,2.6639999999999997,1.51
362,2.667,1.445
363,2.67,1.453
364,2.6830000000000003,1.4769999999999999
365,2.688,1.463
366,2.6919999999999997,1.476
367,2.695,1.456
368,2.708,1.416
369,2.713,1.412
370,2.717,1.7169999999999999
371,2.72,1.4780000000000002
372,2.7319999999999998,1.439
373,2.742,1.724
374,2.745,1.452
375,2.7489999999999997,1.3980000000000001
376,2.7569999999999997,1.493
377,2.767,1.6480000000000001
378,2.7689999999999997,1.4569999999999999
379,2.7739999999999996,1.4340000000000002
380,2.781,1.413
381,2.792,1.5719999999999998
382,2.7939999999999996,1.4340000000000002
383,2.798,1.464
384,2.806,1.415
385,2.8160000000000003,1.635
386,2.819,1.486
387,2.823,1.455
388,2.83,1.431
389,2.841,1.574
390,2.844,1.4509999999999998
391,2.847,1.385
392,2.855,0.782
393,2.866,1.636
394,2.8689999999999998,1.466
395,2.872,1.425
396,2.8939999999999997,1.446
397,2.8960000000000004,1.4080000000000001
398,2.918,1.456
399,2.9210000000000003,1.393
400,2.943,1.379
401,2.945,1.4180000000000001
402,2.968,1.453
403,2.97,1.416
404,2.972,1.367
405,2.992,1.3130000000000002
406,2.9930000000000003,1.39
407,2.9939999999999998,1.3769999999999998
408,2.997,1.383
409,3.017,1.339
410,3.0180000000000002,1.306
411,3.0189999999999997,1.3630000000000002
412,3.0210000000000004,1.3869999999999998
413,3.042,1.351
414,3.043,0.615
415,3.043,1.4080000000000001
416,3.0460000000000003,1.361
417,3.0669999999999997,1.36
418,3.068,1.42
419,3.07,1.4169999999999998
420,3.092,1.3940000000000001
421,3.092,1.426
422,3.095,1.51
423,3.117,1.409
424,3.117,1.435
425,3.1189999999999998,1.472
426,3.141,1.443
427,3.142,1.527
428,3.1439999999999997,1.544
429,3.1660000000000004,1.569
430,3.1660000000000004,1.4280000000000002
431,3.168,1.651
432,3.1910000000000003,1.561
433,3.1910000000000003,1.44
434,3.193,1.695
435,3.2,1.263
436,3.215,1.609
437,3.216,1.413
438,3.217,1.446
439,3.225,1.6130000000000002
440,3.24,1.751
441,3.241,1.45
442,3.242,1.411
443,3.25,1.556
444,3.264,1.3940000000000001
445,3.265,1.442
446,3.266,1.4280000000000002
447,3.275,1.443
448,3.2889999999999997,1.392
449,3.29,1.6059999999999999
450,3.2910000000000004,1.399
451,3.3,1.4080000000000001
452,3.313,1.376
453,3.315,1.611
454,3.315,1.45
455,3.325,1.412
456,3.338,1.4069999999999998
457,3.34,1.692
458,3.35,1.4369999999999998
459,3.362,1.374
460,3.365,1.723
461,3.375,1.4180000000000001
462,3.387,1.4240000000000002
463,3.4,1.508
464,3.411,1.4080000000000001
465,3.425,1.5119999999999998
466,3.4360000000000004,1.476
467,3.445,1.4040000000000001
468,3.45,1.501
469,3.46,1.505
470,3.469,1.6130000000000002
471,3.475,1.587
472,3.4819999999999998,1.268
473,3.485,1.546
474,3.4939999999999998,1.604
475,3.5,1.621
476,3.5069999999999997,1.381
477,3.509,1.6980000000000002
478,3.5189999999999997,1.6680000000000001
479,3.525,1.834
480,3.531,1.8030000000000002
481,3.534,1.744
482,3.543,1.72
483,3.55,1.4380000000000002
484,3.556,1.7469999999999999
485,3.5580000000000003,1.631
486,3.568,1.706
487,3.575,1.4680000000000002
488,3.5810000000000004,1.77
489,3.583,1.791
490,3.592,1.7169999999999999
491,3.6,1.466
492,3.6060000000000003,1.671
493,3.6069999999999998,1.676
494,3.617,1.683
495,3.625,1.558
496,3.6310000000000002,1.525
497,3.6319999999999997,1.655
498,3.641,1.79
499,3.65,1.614
500,3.656,1.444
501,3.656,1.6880000000000002
502,3.6660000000000004,1.696
503,3.675,1.71
504,3.681,1.446
505,3.681,1.83
506,3.6910000000000003,1.6219999999999999
507,3.7,1.751
508,3.705,1.617
509,3.7060000000000004,1.423
510,3.715,1.3880000000000001
511,3.725,1.714
512,3.73,1.5419999999999998
513,3.7310000000000003,1.406
514,3.74,1.395
515,3.75,1.72
516,3.7539999999999996,1.355
517,3.755,1.47
518,3.764,1.391
519,3.775,1.7930000000000001
520,3.779,1.39
521,3.78,1.486
522,3.7889999999999997,1.4
523,3.8,1.55
524,3.803,1.369
525,3.805,1.5859999999999999
526,3.8139999999999996,1.393
527,3.825,1.61
528,3.8280000000000003,1.389
529,3.83,1.5119999999999998
530,3.838,0.765
531,3.85,1.619
532,3.853,1.413
533,3.855,1.401
534,3.875,1.631
535,3.877,1.4569999999999999
536,3.9,1.669
537,3.9019999999999997,1.515
538,3.911,1.3430000000000002
539,3.925,1.7309999999999999
540,3.9360000000000004,1.431
541,3.948,1.526
