,Depth CSF-B (m),Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%),Reflectance L*,Reflectance a*,Reflectance b*,Tristimulus X,Tristimulus Y,Tristimulus Z,Bulk density (GRA),Magnetic susceptibility (instr. units),NGR total counts (cps)
46,71.88,59.2,37.2,1.725,1.083,2.9010000000000002,62.7,41.4,0.9,0.0,11.6,12.1,13.0,1.821,53.0,50.281000000000006
47,73.43,56.2,36.0,1.754,1.123,2.93,61.7,36.0,0.6,-0.7,8.6,9.0,9.9,1.874,49.0,54.17100000000001
48,75.04,67.5,40.3,1.68,1.003,2.958,66.1,41.7,1.0,-1.2,11.8,12.3,13.7,1.7719999999999998,66.8,37.896
49,76.39,59.3,37.2,1.706,1.071,2.819,62.0,39.2,1.2,-1.6,10.4,10.8,12.2,1.838,49.6,51.698
50,77.89,68.2,40.6,1.659,0.986,2.877,65.7,41.1,1.6,-1.6,11.5,11.9,13.4,1.7069999999999999,70.0,46.321000000000005
51,78.61,56.7,36.2,1.705,1.088,2.736,60.2,39.2,1.2,-2.4,10.4,10.8,12.5,1.8419999999999999,37.4,54.748999999999995
52,79.952,57.9,36.7,1.732,1.097,2.885,62.0,47.4,1.4,-3.6,15.7,16.3,19.3,1.883,37.0,55.708999999999996
53,81.348,60.0,37.5,1.704,1.065,2.832,62.4,38.9,1.2,-0.9,10.2,10.6,11.7,1.849,46.0,43.038000000000004
54,82.485,64.1,39.1,1.689,1.0290000000000001,2.897,64.5,39.4,1.3,-1.9,10.5,10.9,12.4,1.8840000000000001,42.8,46.224
55,83.652,59.8,37.4,1.732,1.084,2.951,63.3,40.1,1.4,-2.0,10.9,11.3,12.9,1.794,48.4,45.901
56,85.01899999999999,93.3,48.3,1.5119999999999998,0.782,2.722,71.3,44.8,1.6,-0.1,13.9,14.4,15.5,1.6580000000000001,80.4,37.303000000000004
57,85.87700000000001,59.4,37.3,1.685,1.057,2.7310000000000003,61.3,38.2,1.8,-0.1,9.9,10.2,11.0,1.8419999999999999,41.2,51.744
58,86.985,62.9,38.6,1.625,0.998,2.575,61.3,42.0,1.7,-1.2,12.1,12.5,13.9,1.8330000000000002,60.4,51.096000000000004
59,87.84299999999999,52.2,34.3,1.732,1.138,2.708,58.0,40.2,2.1,-1.7,11.1,11.4,12.9,1.892,29.0,56.721000000000004
60,89.49,56.2,36.0,1.746,1.1179999999999999,2.891,61.3,42.9,1.9,-1.5,12.7,13.1,14.7,1.82,53.2,58.138999999999996
61,90.83,57.1,36.3,1.64,1.044,2.498,58.2,39.2,1.2,1.7,10.4,10.8,11.0,1.829,49.0,52.128
62,92.16,64.5,39.2,1.571,0.955,2.399,60.2,39.7,1.3,-0.7,10.7,11.1,12.2,1.7480000000000002,81.2,53.537
63,93.88,66.4,39.9,1.6380000000000001,0.9840000000000001,2.72,63.8,37.7,0.9,-1.1,9.5,9.9,11.0,1.784,64.0,58.551
64,95.41,52.0,34.2,1.7890000000000001,1.177,2.924,59.8,40.6,1.5,-2.2,11.2,11.6,13.3,1.871,54.4,53.141000000000005
65,98.89,54.5,35.3,1.6059999999999999,1.04,2.327,55.3,42.9,1.9,-2.9,12.7,13.1,15.3,1.8719999999999999,50.8,56.358000000000004
66,100.56,64.6,39.2,1.6480000000000001,1.002,2.718,63.1,41.2,1.6,-2.0,11.6,12.0,13.7,1.787,79.2,55.748999999999995
67,101.9,53.5,34.8,1.581,1.03,2.228,53.8,37.7,0.9,-0.5,9.5,9.9,10.8,1.8730000000000002,67.0,58.214
68,103.4,39.4,28.3,1.883,1.351,2.815,52.0,42.6,1.8,-3.4,12.5,12.9,15.3,2.015,41.0,65.154
69,104.91,45.8,31.4,1.831,1.256,2.866,56.2,41.8,1.0,-2.6,11.9,12.4,14.4,1.943,43.6,68.628
70,106.03,49.2,33.0,1.787,1.197,2.822,57.6,39.4,1.3,-1.6,10.5,10.9,12.3,1.8869999999999998,49.8,60.61600000000001
71,107.28,49.9,33.3,1.736,1.158,2.659,56.4,45.2,1.6,-3.9,14.2,14.7,17.6,1.8940000000000001,48.6,61.519
72,108.45,58.7,37.0,1.706,1.075,2.802,61.6,42.5,1.1,-2.7,12.3,12.8,14.9,1.8,49.4,53.348
73,109.96,46.9,31.9,1.81,1.232,2.8280000000000003,56.4,38.9,1.2,-1.7,10.2,10.6,12.0,1.922,42.8,60.396
74,111.39,58.7,37.0,1.7180000000000002,1.082,2.853,62.1,34.0,1.1,-1.7,7.7,8.0,9.1,1.883,64.0,57.708
75,112.96,46.3,31.6,1.815,1.2409999999999999,2.825,56.1,35.0,1.3,-2.1,8.2,8.5,9.8,1.936,39.6,63.346000000000004
76,114.51,49.4,33.1,1.729,1.157,2.6189999999999998,55.8,39.9,0.6,-1.2,10.7,11.2,12.5,1.885,51.4,62.699
77,115.63,53.7,34.9,1.7519999999999998,1.14,2.833,59.8,49.4,1.2,-0.2,17.2,17.9,19.3,1.876,26.2,37.051
78,116.52,47.6,32.2,1.8030000000000002,1.222,2.827,56.8,41.5,0.9,-0.5,11.7,12.2,13.3,1.925,44.6,44.519
79,117.948,31.5,23.9,1.8219999999999998,1.385,2.4130000000000003,42.6,34.0,0.1,-1.3,7.6,8.0,9.0,1.972,39.0,64.381
80,119.454,52.2,34.3,1.775,1.166,2.8760000000000003,59.5,39.1,0.4,-1.9,10.2,10.7,12.2,1.867,44.6,64.51899999999999
81,120.931,51.4,33.9,1.777,1.1740000000000002,2.855,58.9,49.3,1.2,-3.0,17.1,17.8,20.7,1.895,57.4,55.621
82,122.43700000000001,47.1,32.0,1.819,1.237,2.866,56.8,42.0,1.0,-2.6,12.0,12.5,14.5,1.984,53.8,62.438
83,123.934,42.7,29.9,1.824,1.2790000000000001,2.737,53.3,40.2,0.7,-0.9,10.9,11.4,12.6,1.9580000000000002,39.4,61.674
84,125.001,66.4,39.9,1.68,1.01,2.9219999999999997,65.5,44.7,1.5,-0.8,13.8,14.3,15.7,1.8719999999999999,112.0,51.659
85,126.162,44.4,30.8,1.88,1.3019999999999998,2.992,56.5,43.9,0.7,-3.3,13.2,13.8,16.3,1.8980000000000001,33.4,59.583999999999996
86,127.661,62.3,38.4,1.662,1.024,2.714,62.3,45.4,1.7,0.0,14.3,14.8,15.9,1.8019999999999998,75.0,45.761
87,129.121,51.7,34.1,1.7619999999999998,1.162,2.81,58.7,37.5,0.9,-0.2,9.4,9.8,10.6,1.857,65.8,60.163999999999994
88,130.58100000000002,34.8,25.8,1.91,1.4169999999999998,2.73,48.1,41.7,1.0,-2.4,11.8,12.3,14.2,2.036,58.0,66.571
89,132.041,43.6,30.4,1.9080000000000001,1.328,3.06,56.6,42.3,1.1,-1.6,12.2,12.7,14.3,1.949,50.6,62.623999999999995
90,133.481,44.5,30.8,1.8319999999999999,1.268,2.824,55.1,35.2,-0.5,-0.8,8.1,8.6,9.5,1.963,52.0,59.021
91,134.534,43.6,30.4,1.8130000000000002,1.262,2.733,53.8,45.8,1.7,-1.5,14.6,15.1,16.9,1.867,41.4,46.603
92,135.68,40.0,28.6,1.875,1.339,2.8080000000000003,52.3,43.4,1.3,-2.3,12.9,13.4,15.4,1.966,37.0,63.041000000000004
93,137.53,52.5,34.4,1.764,1.157,2.845,59.3,51.5,1.1,1.0,18.9,19.7,20.6,1.845,21.2,39.133
94,138.65,42.6,29.9,1.929,1.3530000000000002,3.094,56.3,39.1,1.2,-2.2,10.3,10.7,12.3,1.973,43.4,64.60600000000001
95,140.0,46.1,31.5,1.817,1.244,2.826,56.0,42.9,0.5,-1.7,12.5,13.1,14.8,1.9269999999999998,84.6,61.178000000000004
96,141.48,35.5,26.2,1.889,1.3940000000000001,2.7,48.4,37.7,1.7,-2.2,9.6,9.9,11.4,2.0780000000000003,40.0,68.031
97,142.7,44.1,30.6,1.834,1.272,2.818,54.8,45.4,1.0,-2.8,14.2,14.8,17.2,1.946,42.0,65.571
98,143.71,47.8,32.3,1.7630000000000001,1.193,2.6919999999999997,55.7,43.8,1.4,-2.3,13.2,13.7,15.7,1.9340000000000002,47.2,63.268
99,145.44899999999998,55.4,35.7,1.756,1.13,2.908,61.1,44.4,1.5,-1.7,13.6,14.1,15.9,1.796,59.0,56.972
100,148.405,41.6,29.4,1.855,1.311,2.8,53.2,39.1,1.2,-0.6,10.3,10.7,11.7,1.972,37.2,61.832
101,151.40200000000002,60.7,37.8,1.666,1.036,2.6889999999999996,61.5,38.6,0.3,-0.4,9.9,10.4,11.3,1.8319999999999999,131.4,55.676
102,155.57399999999998,35.5,26.2,1.923,1.42,2.7939999999999996,49.2,43.5,1.3,-2.3,13.0,13.5,15.5,2.024,40.4,62.938
103,157.458,49.4,33.1,1.739,1.1640000000000001,2.656,56.2,50.0,1.4,-0.3,17.7,18.4,19.9,1.901,30.0,51.271
104,164.21,40.1,28.6,1.8940000000000001,1.3519999999999999,2.872,52.9,35.8,1.4,0.2,8.6,8.9,9.5,1.979,46.0,64.764
105,167.21,40.8,29.0,1.875,1.3319999999999999,2.838,53.1,35.6,0.5,-1.4,8.4,8.8,9.9,1.9769999999999999,44.8,59.254
106,171.28,50.2,33.4,1.7590000000000001,1.171,2.752,57.4,34.8,0.3,-0.6,8.0,8.4,9.2,1.86,42.6,53.606
107,173.87,48.4,32.6,1.778,1.198,2.764,56.6,36.6,0.7,-0.6,8.9,9.3,10.2,1.791,48.0,52.857
108,176.77,49.2,33.0,1.771,1.187,2.763,57.0,34.8,-0.6,1.0,7.9,8.4,8.7,1.801,48.0,59.181000000000004
109,180.615,52.9,34.6,1.7619999999999998,1.1520000000000001,2.8489999999999998,59.6,50.9,1.5,-1.6,18.5,19.2,21.5,1.75,33.6,34.931
110,183.47099999999998,45.4,31.2,1.819,1.251,2.8080000000000003,55.4,37.1,0.8,0.9,9.2,9.6,10.0,1.828,40.0,55.161
111,186.278,43.5,30.3,1.829,1.274,2.78,54.2,45.4,1.7,-2.6,14.3,14.8,17.1,1.806,35.0,50.778
112,188.15900000000002,48.7,32.8,1.831,1.2309999999999999,2.971,58.6,37.1,0.8,0.3,9.2,9.6,10.2,1.8840000000000001,43.2,57.388999999999996
113,190.267,50.6,33.6,1.778,1.181,2.8339999999999996,58.3,36.2,0.6,-1.9,8.7,9.1,10.4,1.729,33.2,51.341
114,193.297,58.0,36.7,1.685,1.0659999999999998,2.693,60.4,48.6,0.5,-0.2,16.5,17.3,18.7,1.806,18.2,33.852
115,194.739,49.2,33.0,1.818,1.219,2.937,58.5,40.7,0.8,0.2,11.2,11.7,12.5,1.797,36.2,44.629
116,195.16099999999997,47.6,32.2,1.8019999999999998,1.2209999999999999,2.823,56.7,34.2,1.1,0.0,7.8,8.1,8.7,1.761,37.0,51.141999999999996
117,196.542,37.3,27.2,1.8530000000000002,1.35,2.655,49.2,36.9,0.8,-1.5,9.1,9.5,10.7,2.021,41.0,67.566
118,198.727,47.1,32.0,1.774,1.206,2.71,55.5,37.3,0.8,-0.5,9.3,9.7,10.6,1.785,32.8,52.248999999999995
119,201.507,46.4,31.7,1.8159999999999998,1.24,2.833,56.2,37.8,0.1,0.1,9.5,10.0,10.7,1.831,40.2,52.273999999999994
120,204.451,49.2,33.0,1.78,1.193,2.7960000000000003,57.3,32.3,0.7,-1.0,6.9,7.2,8.0,1.854,33.6,50.898
121,206.535,39.4,28.3,1.973,1.416,3.109,54.5,38.2,1.0,-1.8,9.8,10.2,11.6,1.95,-26.4,62.536
122,209.43099999999998,40.6,28.9,1.881,1.338,2.8480000000000003,53.0,37.7,0.9,-1.6,9.5,9.9,11.2,1.867,40.6,57.343999999999994
123,212.364,45.7,31.4,1.7690000000000001,1.214,2.6519999999999997,54.2,34.6,-0.7,1.0,7.8,8.3,8.6,1.8230000000000002,48.2,51.088
124,215.365,45.3,31.2,1.8230000000000002,1.255,2.822,55.5,35.4,0.4,-0.8,8.3,8.7,9.6,1.838,39.4,50.364
125,219.113,41.4,29.3,1.831,1.295,2.718,52.4,35.6,0.5,-0.2,8.4,8.8,9.5,1.844,38.8,50.31399999999999
126,222.076,39.4,28.2,1.9380000000000002,1.391,2.987,53.4,38.2,1.0,-1.5,9.8,10.2,11.5,1.858,35.4,57.263999999999996
127,225.019,40.5,28.8,1.864,1.327,2.7910000000000004,52.5,42.2,1.1,-1.1,12.1,12.6,14.0,1.97,47.0,52.364
128,238.27,43.9,30.5,1.86,1.2919999999999998,2.9,55.4,38.0,1.8,-2.1,9.8,10.1,11.6,1.882,48.2,54.474
129,241.213,49.5,33.1,1.785,1.194,2.823,57.7,42.6,1.1,0.9,12.4,12.9,13.5,1.8319999999999999,42.8,40.254
130,244.155,45.4,31.2,1.7890000000000001,1.2309999999999999,2.707,54.5,42.3,1.1,-1.1,12.2,12.7,14.1,1.959,62.0,51.761
131,247.85299999999998,52.6,34.5,1.7890000000000001,1.173,2.95,60.2,38.2,1.8,-2.3,9.9,10.2,11.8,1.807,50.8,51.188
132,250.75400000000002,35.1,26.0,1.9380000000000002,1.435,2.821,49.1,34.2,1.1,-1.3,7.8,8.1,9.1,1.9769999999999999,41.6,58.488
133,253.805,47.5,32.2,1.814,1.23,2.861,57.0,39.7,2.1,-2.3,10.8,11.1,12.8,1.891,53.0,59.698
134,257.447,38.4,27.8,1.893,1.367,2.8080000000000003,51.3,35.0,2.2,-0.9,8.3,8.5,9.4,1.8769999999999998,42.2,51.474
135,260.447,40.5,28.8,1.8430000000000002,1.311,2.7260000000000004,51.9,35.0,1.3,-2.1,8.2,8.5,9.8,1.8719999999999999,38.6,53.071000000000005
136,263.281,42.4,29.8,1.879,1.32,2.907,54.6,33.4,1.9,-1.8,7.5,7.7,8.8,1.87,37.6,54.762
137,265.42,36.6,26.8,1.92,1.405,2.826,50.3,33.6,1.0,-0.1,7.5,7.8,8.4,1.794,35.6,54.516000000000005
138,268.97,37.8,27.4,1.91,1.386,2.838,51.2,32.7,1.8,-1.6,7.2,7.4,8.4,1.7819999999999998,38.2,54.216
139,275.351,42.7,29.9,1.828,1.281,2.7510000000000003,53.4,33.6,1.0,0.6,7.5,7.8,8.2,1.7719999999999998,39.4,53.618
140,278.286,42.4,29.8,1.895,1.331,2.9610000000000003,55.1,48.0,1.5,-0.3,16.2,16.8,18.2,1.8,15.8,28.801
141,281.369,39.4,28.3,1.8840000000000001,1.351,2.8139999999999996,52.0,42.0,1.7,-0.7,12.1,12.5,13.7,1.943,43.4,57.438
142,284.88,38.6,27.8,1.8940000000000001,1.367,2.818,51.5,45.8,1.1,0.9,14.5,15.1,15.8,1.858,15.4,28.237
143,286.55,42.4,29.8,1.8430000000000002,1.294,2.7910000000000004,53.6,34.8,0.3,2.4,8.0,8.4,8.3,1.754,70.2,53.373999999999995
144,287.87,37.4,27.2,1.881,1.369,2.738,50.0,37.1,1.6,-1.1,9.3,9.6,10.7,1.8430000000000002,41.4,54.42100000000001
145,289.72,42.5,29.8,1.9040000000000001,1.3359999999999999,3.0010000000000003,55.5,35.6,0.5,1.8,8.4,8.8,8.9,1.7180000000000002,69.0,54.598
146,291.28,35.9,26.4,1.93,1.42,2.826,49.7,32.5,0.8,0.5,7.0,7.3,7.7,1.804,37.6,56.089
147,292.53,39.6,28.4,1.883,1.349,2.818,52.1,46.3,1.8,3.4,15.0,15.5,15.1,1.851,22.0,36.438
148,295.02,40.2,28.7,1.871,1.334,2.804,52.4,40.1,2.1,-1.5,11.0,11.3,12.7,1.7730000000000001,19.0,31.426
149,296.14,36.4,26.7,1.86,1.364,2.645,48.4,47.5,1.4,0.4,15.8,16.4,17.4,1.805,18.2,29.084
150,297.89,35.3,26.1,1.995,1.474,2.9989999999999997,50.8,41.2,1.6,-0.5,11.6,12.0,13.1,1.8159999999999998,42.6,55.943999999999996
151,298.24,38.6,27.9,1.901,1.371,2.839,51.7,44.5,2.1,-3.4,13.8,14.2,16.8,1.8559999999999999,30.0,53.973
152,306.15,37.1,27.1,1.9169999999999998,1.3980000000000001,2.8339999999999996,50.7,36.2,0.6,-0.1,8.7,9.1,9.8,1.86,44.0,56.781000000000006
153,309.12,32.4,24.5,1.984,1.4980000000000002,2.847,47.4,41.2,1.6,-2.5,11.6,12.0,13.9,1.915,44.4,51.901
154,312.16,40.4,28.8,1.857,1.3230000000000002,2.766,52.2,46.6,1.9,-0.1,15.2,15.7,16.9,1.7830000000000001,25.0,37.656
155,315.96,32.6,24.6,1.996,1.505,2.889,47.9,36.0,0.6,0.2,8.6,9.0,9.6,1.891,39.8,48.812
156,325.59,40.3,28.7,1.885,1.344,2.8489999999999998,52.8,47.1,1.4,-0.4,15.5,16.1,17.5,1.729,13.0,32.619
157,328.39,54.0,35.1,1.7469999999999999,1.135,2.825,59.8,46.3,1.8,1.0,15.0,15.5,16.2,1.75,46.6,40.418
158,333.47,29.8,22.9,2.0140000000000002,1.5519999999999998,2.8280000000000003,45.1,31.8,0.6,0.1,6.7,7.0,7.5,1.8519999999999999,42.6,45.123999999999995
159,344.95,30.9,23.6,1.98,1.5119999999999998,2.782,45.7,37.3,0.8,-1.7,9.3,9.7,11.0,1.8359999999999999,42.0,51.81399999999999
160,354.12,35.9,26.4,1.9280000000000002,1.419,2.822,49.7,30.6,1.5,-0.5,6.3,6.5,7.1,1.883,33.6,57.339
161,357.38,38.5,27.8,1.893,1.367,2.813,51.4,45.4,2.3,0.0,14.4,14.8,15.9,1.794,34.8,44.911
162,358.6,40.1,28.6,1.8719999999999999,1.3359999999999999,2.802,52.3,44.4,0.8,1.0,13.5,14.1,14.7,1.854,20.6,38.719
163,360.38,37.7,27.4,1.909,1.3869999999999998,2.8310000000000004,51.0,37.1,0.8,0.3,9.2,9.6,10.2,1.9809999999999999,38.4,56.528
164,362.91,40.5,28.8,1.882,1.339,2.8489999999999998,53.0,32.7,1.8,-0.5,7.2,7.4,8.1,1.841,47.2,60.43899999999999
165,363.68,37.0,27.0,1.902,1.389,2.785,50.1,45.1,1.6,0.9,14.1,14.6,15.3,1.433,16.6,31.798000000000002
166,372.459,36.0,26.5,1.935,1.423,2.845,50.0,38.4,1.8,-1.5,10.0,10.3,11.6,1.838,42.0,62.566
167,374.32300000000004,40.3,28.7,1.874,1.3359999999999999,2.8160000000000003,52.6,43.2,1.3,0.9,12.8,13.3,13.9,1.825,18.2,38.122
168,375.727,33.9,25.3,1.962,1.465,2.845,48.5,37.7,1.7,-1.9,9.6,9.9,11.3,1.861,43.0,61.146
169,376.811,34.8,25.8,1.9469999999999998,1.445,2.8360000000000003,49.1,40.9,1.5,-1.8,11.4,11.8,13.4,1.87,34.0,62.121
170,379.224,31.9,24.2,1.974,1.4969999999999999,2.804,46.6,41.4,1.6,-1.0,11.7,12.1,13.4,1.8719999999999999,43.6,59.199
171,380.101,36.2,26.6,1.92,1.41,2.8089999999999997,49.8,49.4,1.8,1.2,17.3,17.9,18.6,1.824,40.2,35.838
172,381.103,33.1,24.9,1.942,1.459,2.763,47.2,36.4,1.5,-0.4,8.9,9.2,10.0,1.874,46.8,61.983999999999995
173,384.381,38.2,27.6,1.8559999999999999,1.3430000000000002,2.6919999999999997,50.1,42.0,1.0,0.8,12.0,12.5,13.1,1.8730000000000002,20.6,30.604
174,387.73,33.4,25.1,2.035,1.525,3.0389999999999997,49.8,33.8,2.0,0.3,7.7,7.9,8.4,1.901,40.0,62.141999999999996
175,390.664,31.6,24.0,1.99,1.5119999999999998,2.833,46.6,36.0,1.4,-0.7,8.7,9.0,9.9,1.903,42.8,61.82899999999999
176,394.46,36.8,26.9,1.9280000000000002,1.409,2.855,50.6,36.4,1.5,0.2,8.9,9.2,9.8,1.8230000000000002,32.4,55.361999999999995
177,396.12,25.5,20.3,2.065,1.645,2.79,41.0,40.7,1.5,-1.4,11.3,11.7,13.1,1.969,35.0,52.206
178,397.78,32.6,24.6,1.929,1.455,2.71,46.3,40.1,1.4,-1.2,10.9,11.3,12.6,1.91,44.4,58.153
179,402.6,40.9,29.0,1.9669999999999999,1.396,3.158,55.8,35.6,2.2,0.2,8.6,8.8,9.4,1.8219999999999998,52.0,54.138000000000005
180,413.87,33.3,25.0,1.969,1.476,2.843,48.1,39.6,0.5,-0.5,10.5,11.0,12.0,1.8130000000000002,30.2,56.07899999999999
