,Depth CSF-B (m),Magnetic susceptibility (instr. units)
954,6.809,21.6
955,6.824,29.8
956,6.83,30.4
957,6.834,21.4
958,6.848,26.0
959,6.855,32.0
960,6.858,21.8
961,6.88,31.6
962,6.882999999999999,21.0
963,6.9,23.2
964,6.905,30.0
965,6.907,20.2
966,6.925,24.0
967,6.93,28.8
968,6.932,20.8
969,6.949,25.6
970,6.955,28.2
971,6.957000000000001,21.0
972,6.974,26.4
973,6.976,26.4
974,6.98,28.8
975,6.981,21.4
976,6.997999999999999,25.8
977,7.001,30.8
978,7.005,29.4
979,7.006,21.8
980,7.023,24.0
981,7.026,30.2
982,7.03,30.0
983,7.03,21.4
984,7.047000000000001,22.8
985,7.05,25.2
986,7.055,21.6
987,7.055,30.8
988,7.072,23.2
989,7.075,22.0
990,7.08,30.8
991,7.08,21.4
992,7.097,27.2
993,7.1,21.0
994,7.104,21.0
995,7.105,34.2
996,7.121,28.6
997,7.125,19.8
998,7.129,22.4
999,7.13,32.0
1000,7.146,27.8
1001,7.15,16.4
1002,7.153,22.0
1003,7.155,29.0
1004,7.17,28.6
1005,7.175,14.2
1006,7.178,21.2
1007,7.18,26.8
1008,7.195,29.4
1009,7.199,13.2
1010,7.202000000000001,20.8
1011,7.205,21.0
1012,7.218999999999999,30.8
1013,7.224,12.6
1014,7.227,20.6
1015,7.23,19.8
1016,7.244,33.8
1017,7.249,13.2
1018,7.252000000000001,22.0
1019,7.255,23.0
1020,7.268,32.0
1021,7.274,14.8
1022,7.276,29.8
1023,7.28,26.2
1024,7.292999999999999,31.0
1025,7.2989999999999995,19.6
1026,7.301,40.8
1027,7.305,27.2
1028,7.317,30.2
1029,7.324,26.0
1030,7.325,38.6
1031,7.33,27.8
1032,7.3420000000000005,27.6
1033,7.348,34.0
1034,7.35,34.0
1035,7.355,28.8
1036,7.367000000000001,17.4
1037,7.374,33.2
1038,7.38,29.8
1039,7.399,37.8
1040,7.405,30.8
1041,7.4239999999999995,41.6
1042,7.43,30.8
1043,7.4479999999999995,43.2
1044,7.455,30.8
1045,7.473,47.8
1046,7.48,31.2
1047,7.48,60.0
1048,7.497000000000001,53.4
1049,7.5,13.6
1050,7.505,34.2
1051,7.505,74.6
1052,7.522,71.6
1053,7.525,24.0
1054,7.53,70.4
1055,7.53,35.6
1056,7.547000000000001,97.2
1057,7.55,25.0
1058,7.555,65.8
1059,7.555,36.6
1060,7.571000000000001,107.6
1061,7.575,22.0
1062,7.58,63.8
1063,7.58,39.0
1064,7.596,69.4
1065,7.6,17.2
1066,7.605,54.4
1067,7.605,39.8
1068,7.62,34.6
1069,7.625,15.8
1070,7.63,43.0
1071,7.63,39.6
1072,7.645,18.6
1073,7.649,16.6
1074,7.654,35.2
1075,7.655,34.8
1076,7.6610000000000005,16.4
1077,7.6739999999999995,19.0
1078,7.678999999999999,28.8
1079,7.68,30.0
1080,7.686,20.0
1081,7.699,20.0
1082,7.704,26.8
1083,7.707999999999999,45.2
1084,7.71,20.0
1085,7.724,20.8
1086,7.729,26.8
1087,7.733,89.6
1088,7.735,20.2
1089,7.749,20.8
1090,7.754,28.8
1091,7.757999999999999,74.0
1092,7.7589999999999995,21.0
1093,7.774,20.0
1094,7.779,30.2
1095,7.7829999999999995,46.4
1096,7.784,21.8
1097,7.7989999999999995,22.4
1098,7.803999999999999,30.6
1099,7.808,36.8
1100,7.809,22.6
1101,7.824,23.8
1102,7.829,29.0
1103,7.832999999999999,34.2
1104,7.832999999999999,23.0
1105,7.849,24.0
1106,7.854,25.6
1107,7.858,23.2
1108,7.858,33.6
1109,7.874,24.0
1110,7.882000000000001,24.2
1111,7.882999999999999,33.6
1112,7.899,22.8
1113,7.907,24.4
1114,7.9079999999999995,35.2
1115,7.9239999999999995,21.2
1116,7.932,27.2
1117,7.933,36.0
1118,7.949,21.0
1119,7.956,28.0
1120,7.957999999999999,34.4
1121,7.9670000000000005,27.0
1122,7.973,20.2
1123,7.981,23.8
1124,7.983,31.2
1125,7.992000000000001,31.6
1126,7.997999999999999,17.0
1127,8.005,22.0
1128,8.008,30.2
1129,8.016,32.0
1130,8.023,15.8
1131,8.03,21.2
1132,8.033,29.2
1133,8.041,29.8
1134,8.048,17.4
1135,8.054,15.4
1136,8.058,28.8
1137,8.066,26.8
1138,8.073,21.8
1139,8.079,14.2
1140,8.083,28.8
1141,8.091000000000001,25.4
1142,8.097999999999999,24.6
1143,8.104,16.4
1144,8.107999999999999,30.2
1145,8.116,24.8
1146,8.123,25.2
1147,8.128,18.8
1148,8.133,32.8
1149,8.141,22.8
1150,8.148,24.8
1151,8.152999999999999,19.0
1152,8.158,33.0
1153,8.166,22.6
1154,8.173,26.0
1155,8.177,22.0
1156,8.183,32.8
1157,8.19,23.6
1158,8.198,24.6
1159,8.202,23.6
1160,8.208,32.6
1161,8.215,22.8
1162,8.222999999999999,21.2
1163,8.227,23.6
1164,8.232999999999999,33.0
1165,8.24,21.0
1166,8.247,21.0
1167,8.251,23.4
1168,8.258,33.0
1169,8.265,20.2
1170,8.272,24.0
1171,8.276,24.0
1172,8.283,33.6
1173,8.29,21.0
1174,8.297,26.0
1175,8.3,24.6
1176,8.308,33.8
1177,8.315,22.4
1178,8.322000000000001,26.8
1179,8.325,25.8
1180,8.333,34.8
1181,8.339,21.4
1182,8.347000000000001,27.0
1183,8.349,27.0
1184,8.357999999999999,36.0
1185,8.372,27.0
1186,8.374,28.0
1187,8.383,35.8
1188,8.397,28.0
1189,8.399,29.4
1190,8.408,31.6
1191,8.422,29.6
1192,8.423,31.4
1193,8.433,30.0
1194,8.447000000000001,30.8
1195,8.448,35.2
1196,8.458,29.0
1197,8.465,22.0
1198,8.472000000000001,32.8
1199,8.472000000000001,39.2
1200,8.482999999999999,28.4
1201,8.49,26.4
1202,8.497,34.0
1203,8.497,38.4
1204,8.508,31.0
1205,8.515,28.0
1206,8.521,35.8
1207,8.522,34.2
1208,8.533,32.0
1209,8.54,27.6
1210,8.546,41.8
1211,8.546,36.2
1212,8.558,32.2
1213,8.565,26.6
1214,8.571,34.8
1215,8.571,79.4
1216,8.583,33.0
1217,8.59,25.8
1218,8.595,93.6
1219,8.596,33.8
1220,8.607999999999999,34.0
1221,8.613999999999999,25.2
1222,8.62,49.0
1223,8.621,35.4
1224,8.633,35.4
1225,8.639,23.8
1226,8.644,34.8
1227,8.646,39.0
1228,8.658,36.4
1229,8.664,21.4
1230,8.669,31.0
1231,8.671,44.2
1232,8.683,38.4
1233,8.689,20.6
1234,8.693999999999999,30.2
1235,8.696,43.4
1236,8.708,38.6
1237,8.714,23.0
