"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Submethod","Moisture dry (wt%)","Moisture wet (wt%)","Bulk density (g/cm³)","Dry density (g/cm³)","Grain density (g/cm³)","Porosity (vol%)","Void ratio","Container number","Mass wet sample (g)","Mass dried sample (g)","Mass porewater (g)","Mass salt (g)","Mass solids (g)","Vol wet sample (cm³)","Vol dried sample (cm³)","Vol porewater (cm³)","Vol salt (cm³)","Vol solids (cm³)","Timestamp (UTC)","Text ID","Test No.","Sample comments"
"349","U1431","E","26","R","1","W","41.0","788.010","788.010","C","55.6","35.7","1.670","1.073","2.569","58.2","1.394","0","25.726","16.860","9.188","0.322","16.538","15.409","6.582","8.972","0.14485","6.437","2014-02-18 01:42:42","CYL5427021","57785151","CYL"
"349","U1431","E","26","R","2","W","113.0","790.000","790.000","C","41.1","29.1","1.822","1.291","2.681","51.8","1.077","0","21.006","15.100","6.120","0.214","14.886","11.528","5.648","5.977","0.09649","5.552","2014-02-19 17:42:30","CYL5427101","57823051",""
"349","U1431","E","26","R","3","W","42.0","790.660","790.660","C","14.5","12.7","2.209","1.929","2.656","27.4","0.377","0","28.832","25.301","3.659","0.128","25.173","13.052","9.536","3.573","0.05769","9.478","2014-02-19 17:59:34","CYL5427141","57823111",""
"349","U1431","E","26","R","3","W","53.0","790.770","790.770","C","49.5","33.1","1.730","1.157","2.629","56.0","1.272","0","26.570","18.075","8.803","0.308","17.767","15.356","6.898","8.597","0.13879","6.759","2014-02-18 01:42:59","CYL5427151","57785171",""
"349","U1431","E","27","R","1","W","135.0","798.650","798.604","C","37.0","27.0","1.813","1.324","2.537","47.8","0.916","0","23.461","17.349","6.334","0.222","17.127","12.937","6.852","6.185","0.09986","6.752","2014-02-19 17:59:40","CYL5427171","57823121",""
"349","U1431","E","27","R","2","W","24.0","798.970","798.914","C","43.0","30.1","1.736","1.213","2.476","51.0","1.041","0","21.801","15.471","6.560","0.230","15.241","12.561","6.259","6.406","0.10342","6.156","2014-02-19 17:59:45","CYL5427181","57823131",""
"349","U1431","E","27","R","2","W","68.0","799.410","799.339","C","50.8","33.7","1.730","1.148","2.663","56.9","1.321","0","22.343","15.082","7.524","0.263","14.819","12.912","5.683","7.348","0.11863","5.564","2014-02-19 17:08:00","CYL5427031","57822971","CYL"
"349","U1431","E","27","R","3","W","29.0","800.210","800.111","C","46.5","31.7","1.773","1.210","2.689","55.0","1.221","0","23.254","16.130","7.382","0.258","15.872","13.112","6.019","7.209","0.11639","5.903","2014-02-19 17:59:51","CYL5427191","57823141",""
"349","U1431","E","27","R","4","W","6.0","800.690","800.575","C","39.9","28.5","1.813","1.296","2.618","50.5","1.020","0","22.374","16.216","6.381","0.223","15.993","12.341","6.210","6.232","0.10061","6.109","2014-02-19 19:06:01","CYL5427321","57823331",""
"349","U1431","E","27","R","5","W","42.0","801.960","801.802","C","56.1","35.9","1.702","1.091","2.708","59.7","1.482","0","21.338","13.942","7.664","0.268","13.674","12.535","5.171","7.485","0.12083","5.050","2014-02-19 19:05:41","CYL5427231","57823321",""
"349","U1431","E","27","R","6","W","14.0","802.370","802.198","C","40.6","28.9","1.788","1.271","2.566","50.5","1.018","0","20.786","14.990","6.006","0.210","14.780","11.625","5.854","5.865","0.09469","5.759","2014-02-19 18:28:32","CYL5427251","57823251",""
"349","U1431","E","27","R","6","W","136.0","803.590","803.377","C","41.3","29.2","1.720","1.217","2.391","49.1","0.965","0","20.468","14.694","5.983","0.209","14.485","11.901","6.152","5.843","0.09433","6.058","2014-02-19 17:07:47","CYL5426991","57822951","CYL"
"349","U1431","E","27","R","7","W","41.0","804.140","803.908","C","34.4","25.6","1.808","1.346","2.455","45.2","0.824","0","21.835","16.444","5.587","0.196","16.248","12.075","6.707","5.456","0.08808","6.619","2014-02-19 18:27:38","CYL5427281","57823241",""
"349","U1431","E","27","R","8","W","9.0","805.110","804.845","C","36.3","26.6","1.793","1.315","2.466","46.7","0.875","0","21.450","15.934","5.716","0.200","15.734","11.962","6.470","5.582","0.09012","6.380","2014-02-19 17:08:05","CYL5427051","57822981",""
"349","U1431","E","27","R","8","W","97.0","805.990","805.695","C","46.8","31.9","1.715","1.168","2.507","53.4","1.146","0","21.665","14.999","6.908","0.242","14.757","12.632","5.995","6.746","0.10891","5.886","2014-02-19 18:24:46","CYL5427301","57823231",""
"349","U1431","E","27","R","9","W","9.0","806.380","806.072","C","41.4","29.3","1.768","1.250","2.528","50.5","1.022","0","19.607","14.068","5.740","0.201","13.867","11.090","5.575","5.605","0.09049","5.485","2014-02-19 17:07:54","CYL5427011","57822961","CYL"
"349","U1431","E","27","R","9","W","90.0","807.190","806.854","C","44.7","30.9","1.711","1.183","2.444","51.6","1.066","0","19.285","13.540","5.953","0.208","13.332","11.269","5.549","5.814","0.09386","5.455","2014-02-19 18:24:37","CYL5427311","57823221",""
