"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Submethod","Moisture dry (wt%)","Moisture wet (wt%)","Bulk density (g/cm³)","Dry density (g/cm³)","Grain density (g/cm³)","Porosity (vol%)","Void ratio","Container number","Mass wet sample (g)","Mass dried sample (g)","Mass porewater (g)","Mass salt (g)","Mass solids (g)","Vol wet sample (cm³)","Vol dried sample (cm³)","Vol porewater (cm³)","Vol salt (cm³)","Vol solids (cm³)","Timestamp (UTC)","Text ID","Test No.","Sample comments"
"349","U1431","E","33","R","2","W","69.0","857.060","857.060","C","33.3","25.0","1.823","1.367","2.463","44.5","0.802","0","22.284","16.908","5.571","0.195","16.713","12.226","6.873","5.440","0.08783","6.785","2014-02-23 13:54:36","CYL5431881","58048391",""
"349","U1431","E","33","R","3","W","21.0","857.420","857.420","C","41.3","29.2","1.778","1.259","2.556","50.7","1.030","0","20.949","15.043","6.120","0.214","14.829","11.779","5.899","5.977","0.09649","5.803","2014-02-22 20:08:49","CYL5432041","57954671",""
"349","U1431","E","33","R","4","W","15.0","858.650","858.650","C","27.6","21.6","1.894","1.484","2.473","40.0","0.666","0","23.304","18.442","5.038","0.176","18.266","12.305","7.464","4.920","0.07943","7.385","2014-02-20 17:27:23","CYL5432051","57829211",""
"349","U1431","E","33","R","5","W","13.0","859.940","859.940","C","35.0","25.9","1.821","1.348","2.502","46.1","0.856","0","23.111","17.326","5.995","0.210","17.116","12.695","6.935","5.854","0.09451","6.840","2014-02-23 13:56:25","CYL5432071","58048431",""
"349","U1431","E","33","R","6","W","6.0","861.090","861.090","C","31.4","23.9","1.852","1.410","2.481","43.2","0.760","0","22.144","17.040","5.289","0.185","16.855","11.958","6.876","5.165","0.08339","6.793","2014-02-22 15:52:07","CYL5431081","57933001",""
"349","U1431","E","33","R","7","W","5.0","862.030","862.030","C","35.3","26.1","1.816","1.342","2.499","46.3","0.862","0","21.855","16.352","5.703","0.200","16.152","12.032","6.553","5.569","0.08991","6.463","2014-02-22 15:52:00","CYL5431031","57932991",""
"349","U1431","E","33","R","8","W","41.0","863.620","863.620","C","45.7","31.4","1.789","1.228","2.717","54.8","1.213","0","21.746","15.162","6.823","0.239","14.923","12.155","5.600","6.663","0.10757","5.492","2014-02-22 15:51:54","CYL5431021","57932981",""
"349","U1431","E","34","R","1","W","34.0","865.540","865.540","C","25.8","20.5","1.964","1.561","2.575","39.4","0.650","0","24.540","19.678","5.038","0.176","19.502","12.494","7.653","4.920","0.07943","7.574","2014-02-22 15:51:48","CYL5430991","57932961",""
"349","U1431","E","34","R","2","W","44.0","866.920","866.920","C","41.4","29.3","1.797","1.271","2.612","51.3","1.055","0","21.679","15.558","6.343","0.222","15.336","12.065","5.971","6.194","0.10000","5.871","2014-02-22 15:51:42","CYL5430971","57932951",""
"349","U1431","E","34","R","3","W","107.0","868.990","868.990","C","55.4","35.7","1.732","1.114","2.806","60.3","1.519","0","22.051","14.464","7.862","0.275","14.189","12.734","5.180","7.678","0.12395","5.056","2014-02-22 15:51:37","CYL5430951","57932941",""
"349","U1431","E","34","R","4","W","34.0","869.560","869.560","C","42.8","30.0","1.807","1.266","2.685","52.9","1.121","0","21.591","15.350","6.467","0.226","15.124","11.948","5.734","6.316","0.10196","5.632","2014-02-22 15:51:30","CYL5430901","57932921",""
"349","U1431","E","34","R","5","W","71.0","871.400","871.400","C","20.3","16.9","2.040","1.695","2.554","33.6","0.507","0","25.503","21.348","4.306","0.151","21.197","12.504","8.367","4.205","0.06788","8.299","2014-02-22 15:50:19","CYL5430881","57932661",""
"349","U1431","E","34","R","6","W","62.0","872.740","872.740","C","32.6","24.6","1.973","1.488","2.828","47.4","0.901","0","22.451","17.121","5.523","0.193","16.928","11.379","6.072","5.394","0.08708","5.985","2014-02-23 13:57:47","CYL5433121","58048461",""
"349","U1431","E","35","R","1","W","120.0","876.100","876.100","C","55.0","35.5","1.684","1.087","2.609","58.3","1.400","0","19.474","12.809","6.907","0.242","12.567","11.561","4.925","6.745","0.10889","4.816","2014-02-23 13:57:53","CYL5433161","58048471",""
"349","U1431","E","35","R","2","W","91.0","877.140","877.140","C","54.5","35.3","1.717","1.112","2.718","59.1","1.445","0","20.908","13.795","7.371","0.258","13.537","12.178","5.096","7.198","0.11621","4.980","2014-02-23 13:58:00","CYL5433181","58048481",""
"349","U1431","E","35","R","3","W","79.0","878.440","878.440","C","57.6","36.5","1.713","1.088","2.797","61.1","1.572","0","20.987","13.589","7.666","0.268","13.321","12.249","4.883","7.487","0.12087","4.762","2014-02-23 15:13:11","CYL5433191","58062431",""
"349","U1431","E","35","R","4","W","135.0","880.460","880.460","C","51.8","34.1","1.702","1.121","2.591","56.7","1.312","0","20.097","13.476","6.861","0.240","13.236","11.809","5.217","6.700","0.10817","5.109","2014-02-23 15:14:39","CYL5433221","58062461",""
"349","U1431","E","35","R","5","W","36.0","880.920","880.920","C","49.8","33.2","1.754","1.171","2.718","56.9","1.321","0","21.557","14.644","7.164","0.251","14.393","12.291","5.408","6.996","0.11294","5.295","2014-02-23 15:15:45","CYL5433261","58062491",""
"349","U1431","E","35","R","6","W","75.0","882.270","882.270","C","44.2","30.6","1.720","1.193","2.459","51.5","1.061","0","19.937","14.043","6.108","0.214","13.829","11.588","5.720","5.965","0.09629","5.624","2014-02-23 15:18:10","CYL5433291","58062511",""
"349","U1431","E","39","R","1","W","29.0","910.290","910.290","C","1.3","1.2","2.913","2.877","2.982","3.5","0.036","0","33.579","33.178","0.416","0.015","33.163","11.526","11.127","0.406","0.00655","11.120","2014-02-23 13:57:05","CYL5432351","58048451",""
"349","U1431","E","40","R","1","W","80.0","914.600","914.600","C","2.6","2.6","2.821","2.748","2.958","7.1","0.077","0","33.491","32.657","0.864","0.030","32.627","11.873","11.043","0.844","0.01363","11.029","2014-02-21 21:01:13","CYL5432361","57888611",""
"349","U1431","E","40","R","2","W","73.0","915.380","915.380","C","1.0","1.0","2.945","2.916","3.003","2.9","0.030","0","36.553","36.198","0.368","0.013","36.185","12.410","12.057","0.359","0.00580","12.051","2014-02-21 21:03:38","CYL5432381","57888621",""
"349","U1431","E","40","R","3","W","43.0","916.580","916.580","C","1.7","1.6","2.900","2.853","2.991","4.6","0.048","0","34.822","34.276","0.566","0.020","34.256","12.007","11.463","0.553","0.00892","11.454","2014-02-22 20:10:10","CYL5432421","57954681",""
"349","U1431","E","41","R","1","W","68.0","924.180","924.180","C","3.8","3.7","2.740","2.639","2.929","9.9","0.110","0","30.750","29.651","1.139","0.040","29.611","11.221","10.127","1.112","0.01796","10.109","2014-02-21 21:05:10","CYL5432451","57888631",""
"349","U1431","E","41","R","3","W","2.0","926.410","926.410","C","2.3","2.3","2.773","2.711","2.887","6.1","0.065","0","34.887","34.129","0.785","0.027","34.102","12.581","11.826","0.767","0.01238","11.814","2014-02-21 21:06:15","CYL5432541","57888641",""
"349","U1431","E","41","R","5","W","34.0","928.790","928.790","C","1.2","1.2","2.885","2.850","2.952","3.5","0.036","0","36.113","35.685","0.444","0.016","35.669","12.517","12.091","0.433","0.00699","12.084","2014-02-21 21:07:41","CYL5432571","57888651",""
"349","U1431","E","41","R","5","W","90.0","929.350","929.350","C","1.1","1.1","2.880","2.849","2.937","3.0","0.031","0","36.747","36.372","0.389","0.014","36.358","12.760","12.387","0.379","0.00613","12.381","2014-02-22 20:11:22","CYL5432581","57954701",""
"349","U1431","E","41","R","7","W","15.0","931.310","931.310","C","1.3","1.3","2.884","2.847","2.953","3.6","0.037","0","33.722","33.310","0.427","0.015","33.295","11.693","11.283","0.417","0.00673","11.276","2014-02-21 21:30:22","CYL5432611","57890241",""
"349","U1431","E","41","R","7","W","60.0","931.760","931.760","C","1.7","1.7","2.843","2.796","2.932","4.6","0.048","0","34.979","34.417","0.582","0.020","34.397","12.302","11.742","0.569","0.00918","11.733","2014-02-21 21:34:39","CYL5432621","57890261",""
"349","U1431","E","41","R","8","W","4.0","932.180","932.180","C","0.9","0.9","2.897","2.872","2.944","2.4","0.025","0","35.461","35.167","0.305","0.011","35.156","12.241","11.948","0.298","0.00480","11.943","2014-02-22 21:05:14","CYL5432651","57988101",""
"349","U1431","E","42","R","1","W","54.0","933.740","933.740","C","1.1","1.1","2.918","2.886","2.980","3.1","0.032","0","37.800","37.398","0.417","0.015","37.383","12.952","12.552","0.407","0.00657","12.545","2014-02-21 21:34:34","CYL5432671","57890251",""
"349","U1431","E","42","R","3","W","60.0","936.650","936.650","C","1.1","1.1","2.889","2.856","2.950","3.2","0.033","0","35.097","34.716","0.395","0.014","34.702","12.149","11.770","0.386","0.00622","11.764","2014-02-21 21:34:45","CYL5432711","57890271",""
"349","U1431","E","42","R","5","W","11.0","938.680","938.680","C","1.1","1.1","2.891","2.860","2.951","3.1","0.032","0","34.707","34.338","0.382","0.013","34.325","12.003","11.636","0.373","0.00603","11.630","2014-02-21 21:34:52","CYL5432771","57890281",""
"349","U1431","E","43","R","1","W","95.0","943.850","943.850","C","1.5","1.5","2.918","2.875","3.001","4.2","0.044","0","33.629","33.150","0.496","0.017","33.133","11.526","11.049","0.485","0.00783","11.041","2014-02-21 22:03:22","CYL5432801","57890351",""
"349","U1431","E","43","R","3","W","50.0","945.960","945.952","C","1.4","1.4","2.885","2.844","2.961","4.0","0.041","0","34.960","34.486","0.491","0.017","34.469","12.119","11.647","0.480","0.00774","11.639","2014-02-21 22:03:28","CYL5432831","57890361",""
"349","U1431","E","46","R","1","W","95.0","972.950","972.950","C","1.7","1.7","2.784","2.736","2.869","4.6","0.049","0","35.238","34.657","0.602","0.021","34.636","12.658","12.080","0.588","0.00949","12.071","2014-02-21 23:31:53","CYL5433681","57890601",""
"349","U1431","E","47","R","1","W","100.0","982.700","982.700","C","1.2","1.2","2.861","2.828","2.923","3.2","0.034","0","35.575","35.176","0.413","0.014","35.162","12.434","12.037","0.404","0.00652","12.030","2014-02-21 23:31:42","CYL5433561","57890581",""
"349","U1431","E","47","R","3","W","46.0","984.930","984.930","C","1.0","1.0","2.871","2.842","2.924","2.8","0.029","0","35.973","35.624","0.362","0.013","35.611","12.530","12.183","0.353","0.00570","12.177","2014-02-21 23:31:47","CYL5433601","57890591",""
"349","U1431","E","49","R","1","W","33.0","991.730","991.730","C","1.8","1.8","2.866","2.816","2.961","4.9","0.052","0","35.199","34.604","0.617","0.022","34.582","12.281","11.689","0.602","0.00972","11.679","2014-02-21 23:31:36","CYL5433521","57890571",""
"349","U1431","E","49","R","3","W","51.0","994.460","994.460","C","5.1","4.8","2.666","2.538","2.903","12.6","0.144","0","32.648","31.126","1.577","0.055","31.071","12.244","10.729","1.540","0.02487","10.704","2014-02-21 23:31:58","CYL5433741","57890611",""
"349","U1431","E","50","R","1","W","25.0","1001.350","1001.350","C","1.5","1.5","2.871","2.828","2.951","4.2","0.044","0","35.609","35.096","0.532","0.019","35.077","12.405","11.894","0.519","0.00838","11.886","2014-02-21 22:03:46","CYL5433471","57890391",""
"349","U1431","E","50","R","3","W","76.0","1004.480","1004.480","C","0.9","0.9","2.880","2.853","2.930","2.6","0.027","0","35.479","35.160","0.331","0.012","35.148","12.319","12.001","0.323","0.00521","11.996","2014-02-21 22:03:34","CYL5433401","57890371",""
"349","U1431","E","50","R","5","W","49.0","1006.670","1006.670","C","1.1","1.1","2.866","2.834","2.925","3.1","0.032","0","35.500","35.116","0.398","0.014","35.102","12.387","12.005","0.389","0.00627","11.999","2014-02-21 22:03:40","CYL5433421","57890381",""
