"Exp","Site","Hole","Core","Type","Sect","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","NGR total counts (cps)","Error (cps)","Relative Error","Timestamp (UTC)","Instrument","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","B","2","H","1","0.0","7.500","7.500","34.279","2.041","0.060","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","10.0","7.600","7.600","31.161","0.653","0.021","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","20.0","7.700","7.699","29.879","0.334","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","30.0","7.800","7.799","35.416","0.360","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","40.0","7.900","7.899","37.357","0.376","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","50.0","8.000","7.998","38.604","0.382","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","60.0","8.100","8.098","35.861","0.369","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","70.0","8.200","8.198","36.581","0.373","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","80.0","8.300","8.297","33.596","0.359","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","90.0","8.400","8.397","31.109","0.347","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","100.0","8.500","8.497","30.866","0.345","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","110.0","8.600","8.596","33.173","0.356","0.011","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","120.0","8.700","8.696","34.712","0.356","0.010","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","130.0","8.800","8.796","37.444","0.817","0.022","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","1","140.0","8.900","8.895","36.125","2.035","0.056","2014-02-01 10:07:40","NGR System","SECT5297441","55248191","","",""
"349","U1431","B","2","H","2","0.0","9.000","8.995","17.129","1.077","0.063","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","10.0","9.100","9.095","15.083","0.381","0.025","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","20.0","9.200","9.194","15.896","0.254","0.016","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","30.0","9.300","9.294","20.792","0.285","0.014","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","40.0","9.400","9.394","24.987","0.317","0.013","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","50.0","9.500","9.494","25.571","0.320","0.013","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","60.0","9.600","9.593","28.754","0.336","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","70.0","9.700","9.693","27.484","0.329","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","80.0","9.800","9.793","26.572","0.325","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","90.0","9.900","9.893","31.369","0.348","0.011","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","100.0","10.000","9.992","32.116","0.351","0.011","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","110.0","10.100","10.092","26.336","0.323","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","120.0","10.200","10.192","24.839","0.306","0.012","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","130.0","10.300","10.292","28.507","0.603","0.021","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","2","140.0","10.400","10.391","27.619","1.665","0.060","2014-02-01 10:19:37","NGR System","SECT5297471","55249431","","",""
"349","U1431","B","2","H","3","0.0","10.500","10.491","28.284","1.702","0.060","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","10.0","10.600","10.591","29.253","0.621","0.021","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","20.0","10.700","10.690","33.676","0.352","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","30.0","10.800","10.790","36.069","0.363","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","40.0","10.900","10.890","31.864","0.351","0.011","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","50.0","11.000","10.989","32.181","0.353","0.011","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","60.0","11.100","11.089","34.748","0.364","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","70.0","11.200","11.189","39.431","0.385","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","80.0","11.300","11.288","40.546","0.390","0.010","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","90.0","11.400","11.388","43.362","0.402","0.009","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","100.0","11.500","11.488","47.200","0.417","0.009","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","110.0","11.600","11.587","45.163","0.408","0.009","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","120.0","11.700","11.687","42.972","0.392","0.009","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","130.0","11.800","11.787","45.854","0.901","0.020","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","3","140.0","11.900","11.886","39.791","2.354","0.059","2014-02-01 10:32:19","NGR System","SECT5297501","55249781","","",""
"349","U1431","B","2","H","4","0.0","12.000","11.986","46.523","2.737","0.059","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","10.0","12.100","12.086","43.420","0.863","0.020","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","20.0","12.200","12.185","40.389","0.383","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","30.0","12.300","12.285","44.693","0.401","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","40.0","12.400","12.385","43.671","0.403","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","50.0","12.500","12.484","43.534","0.403","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","60.0","12.600","12.584","42.401","0.398","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","70.0","12.700","12.684","41.114","0.392","0.010","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","80.0","12.800","12.783","41.396","0.393","0.010","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","90.0","12.900","12.883","43.699","0.403","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","100.0","13.000","12.983","45.316","0.409","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","110.0","13.100","13.082","45.166","0.408","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","120.0","13.200","13.182","45.446","0.403","0.009","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","130.0","13.300","13.282","46.853","0.918","0.020","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","4","140.0","13.400","13.381","41.724","2.464","0.059","2014-02-01 10:45:58","NGR System","SECT5297531","55249841","","",""
"349","U1431","B","2","H","5","0.0","13.500","13.481","42.643","2.516","0.059","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","10.0","13.600","13.581","43.750","0.869","0.020","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","20.0","13.700","13.680","45.909","0.406","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","30.0","13.800","13.780","47.643","0.413","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","40.0","13.900","13.880","48.494","0.423","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","50.0","14.000","13.980","48.421","0.422","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","60.0","14.100","14.079","45.691","0.411","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","70.0","14.200","14.179","45.488","0.411","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","80.0","14.300","14.279","48.029","0.421","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","90.0","14.400","14.379","46.889","0.416","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","100.0","14.500","14.478","46.450","0.414","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","110.0","14.600","14.578","43.613","0.402","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","120.0","14.700","14.678","43.079","0.393","0.009","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","130.0","14.800","14.778","46.262","0.986","0.021","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","5","140.0","14.900","14.877","41.232","2.310","0.056","2014-02-01 10:59:14","NGR System","SECT5297561","55250431","","",""
"349","U1431","B","2","H","6","0.0","15.000","14.977","48.521","2.851","0.059","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","10.0","15.100","15.077","44.529","0.882","0.020","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","20.0","15.200","15.176","43.112","0.394","0.009","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","30.0","15.300","15.276","44.816","0.401","0.009","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","40.0","15.400","15.376","45.501","0.411","0.009","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","50.0","15.500","15.476","44.498","0.407","0.009","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","60.0","15.600","15.575","43.498","0.402","0.009","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","70.0","15.700","15.675","38.604","0.382","0.010","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","80.0","15.800","15.775","33.916","0.754","0.022","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","6","90.0","15.900","15.874","34.145","1.929","0.056","2014-02-01 11:13:07","NGR System","SECT5297591","55250931","","",""
"349","U1431","B","2","H","7","0.0","16.000","15.974","39.591","2.343","0.059","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","10.0","16.100","16.074","36.010","0.736","0.020","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","20.0","16.200","16.173","34.816","0.357","0.010","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","30.0","16.300","16.273","34.559","0.356","0.010","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","40.0","16.400","16.373","35.041","0.366","0.010","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","50.0","16.500","16.472","36.778","0.374","0.010","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","60.0","16.600","16.572","37.158","0.375","0.010","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","70.0","16.700","16.672","39.182","0.554","0.014","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","B","2","H","7","80.0","16.800","16.771","42.193","0.679","0.016","2014-02-01 11:27:52","NGR System","SECT5297621","55250941","","",""
"349","U1431","C","1","H","1","0.0","0.000","0.000","27.702","1.669","0.060","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","10.0","0.100","0.098","30.226","0.637","0.021","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","20.0","0.200","0.196","35.206","0.359","0.010","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","30.0","0.300","0.294","38.662","0.375","0.010","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","40.0","0.400","0.393","38.507","0.381","0.010","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","50.0","0.500","0.491","37.624","0.377","0.010","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","60.0","0.600","0.589","31.321","0.348","0.011","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","70.0","0.700","0.687","27.518","0.330","0.012","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","80.0","0.800","0.785","23.396","0.308","0.013","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","90.0","0.900","0.883","23.282","0.307","0.013","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","100.0","1.000","0.981","24.193","0.311","0.013","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","110.0","1.100","1.079","25.287","0.401","0.016","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","1","120.0","1.200","1.177","23.688","0.451","0.019","2014-02-01 13:20:46","NGR System","SECT5298621","55259921","","",""
"349","U1431","C","1","H","2","0.0","1.280","1.256","24.062","1.464","0.061","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","10.0","1.380","1.354","21.342","0.487","0.023","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","20.0","1.480","1.452","21.116","0.286","0.014","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","30.0","1.580","1.550","20.139","0.281","0.014","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","40.0","1.680","1.649","21.714","0.299","0.014","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","50.0","1.780","1.747","24.167","0.312","0.013","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","60.0","1.880","1.845","23.004","0.306","0.013","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","70.0","1.980","1.943","22.028","0.301","0.014","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","80.0","2.080","2.041","25.332","0.318","0.013","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","90.0","2.180","2.139","29.389","0.339","0.012","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","100.0","2.280","2.237","29.110","0.337","0.012","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","110.0","2.380","2.335","28.146","0.332","0.012","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","120.0","2.480","2.434","25.226","0.308","0.012","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","130.0","2.580","2.532","26.729","0.316","0.012","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","140.0","2.680","2.630","27.525","0.632","0.023","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","2","150.0","2.780","2.728","26.659","1.527","0.057","2014-02-01 13:40:08","NGR System","SECT5298651","55261261","","",""
"349","U1431","C","1","H","3","0.0","2.780","2.728","24.447","1.486","0.061","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","10.0","2.880","2.826","24.815","0.545","0.022","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","20.0","2.980","2.924","26.406","0.316","0.012","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","30.0","3.080","3.022","26.079","0.314","0.012","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","40.0","3.180","3.120","28.567","0.335","0.012","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","50.0","3.280","3.218","32.284","0.353","0.011","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","60.0","3.380","3.317","28.944","0.337","0.012","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","70.0","3.480","3.415","29.898","0.341","0.011","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","80.0","3.580","3.513","33.792","0.360","0.011","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","90.0","3.680","3.611","34.169","0.362","0.011","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","100.0","3.780","3.709","30.413","0.343","0.011","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","110.0","3.880","3.807","27.151","0.427","0.016","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","3","120.0","3.980","3.905","26.099","0.863","0.033","2014-02-01 13:54:36","NGR System","SECT5298681","55261421","","",""
"349","U1431","C","1","H","4","0.0","3.980","3.905","28.538","1.716","0.060","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","10.0","4.080","4.003","31.613","0.661","0.021","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","20.0","4.180","4.101","35.519","0.361","0.010","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","30.0","4.280","4.199","37.066","0.368","0.010","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","40.0","4.380","4.297","37.261","0.376","0.010","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","50.0","4.480","4.395","34.011","0.501","0.015","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","1","H","4","60.0","4.580","4.494","29.693","0.541","0.018","2014-02-01 14:06:46","NGR System","SECT5298711","55261961","","",""
"349","U1431","C","2","H","1","0.0","4.700","4.700","35.056","2.085","0.059","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","10.0","4.800","4.798","33.335","0.690","0.021","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","20.0","4.900","4.897","34.129","0.354","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","30.0","5.000","4.995","37.719","0.371","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","40.0","5.100","5.093","39.987","0.388","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","50.0","5.200","5.192","38.607","0.382","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","60.0","5.300","5.290","36.191","0.371","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","70.0","5.400","5.388","34.698","0.364","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","80.0","5.500","5.487","31.972","0.351","0.011","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","90.0","5.600","5.585","31.959","0.351","0.011","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","100.0","5.700","5.683","33.183","0.356","0.011","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","110.0","5.800","5.782","33.006","0.355","0.011","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","120.0","5.900","5.880","36.516","0.364","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","130.0","6.000","5.978","39.352","0.377","0.010","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","140.0","6.100","6.077","36.426","0.743","0.020","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","1","150.0","6.200","6.175","26.696","1.613","0.060","2014-02-01 14:22:48","NGR System","SECT5299271","55263971","","",""
"349","U1431","C","2","H","2","0.0","6.200","6.175","15.553","0.990","0.064","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","10.0","6.300","6.273","14.338","0.369","0.026","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","20.0","6.400","6.372","15.976","0.255","0.016","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","30.0","6.500","6.470","22.736","0.296","0.013","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","40.0","6.600","6.568","27.964","0.332","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","50.0","6.700","6.667","26.694","0.326","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","60.0","6.800","6.765","27.911","0.332","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","70.0","6.900","6.863","28.791","0.336","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","80.0","7.000","6.962","27.832","0.331","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","90.0","7.100","7.060","31.562","0.349","0.011","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","100.0","7.200","7.158","35.866","0.369","0.010","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","110.0","7.300","7.257","32.643","0.354","0.011","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","120.0","7.400","7.355","26.476","0.315","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","130.0","7.500","7.453","26.246","0.313","0.012","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","140.0","7.600","7.552","29.723","0.629","0.021","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","2","150.0","7.700","7.650","28.404","1.709","0.060","2014-02-01 14:36:46","NGR System","SECT5299301","55266401","","",""
"349","U1431","C","2","H","3","0.0","7.700","7.650","25.631","1.553","0.061","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","10.0","7.800","7.748","26.400","0.572","0.022","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","20.0","7.900","7.847","29.856","0.333","0.011","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","30.0","8.000","7.945","36.713","0.366","0.010","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","40.0","8.100","8.043","32.264","0.353","0.011","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","50.0","8.200","8.142","29.097","0.338","0.012","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","60.0","8.300","8.240","31.454","0.349","0.011","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","70.0","8.400","8.338","35.781","0.369","0.010","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","80.0","8.500","8.437","39.516","0.385","0.010","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","90.0","8.600","8.535","41.236","0.393","0.010","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","100.0","8.700","8.633","42.026","0.395","0.009","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","110.0","8.800","8.732","46.150","0.412","0.009","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","120.0","8.900","8.830","44.096","0.397","0.009","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","130.0","9.000","8.928","43.122","0.393","0.009","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","140.0","9.100","9.027","42.840","0.853","0.020","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","3","150.0","9.200","9.125","40.132","2.374","0.059","2014-02-01 14:52:04","NGR System","SECT5299331","55267681","","",""
"349","U1431","C","2","H","4","0.0","9.200","9.125","46.487","2.735","0.059","2014-02-01 15:04:48","NGR System","SECT5299361","55277261","","",""
