"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CSF-B (m)","Bulk density (GRA)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"349","U1431","A","1","H","3","","32.4","1.324","1.317","1.35","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292891","55236731","","",""
"349","U1431","A","1","H","3","","34.9","1.349","1.342","1.403","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292891","55236731","","",""
"349","U1431","A","1","H","3","","37.4","1.374","1.367","1.379","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292891","55236731","","",""
"349","U1431","A","1","H","4","","0.7","1.507","1.499","1.442","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","3.2","1.532","1.524","1.419","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","5.7","1.557","1.549","1.396","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","8.2","1.582","1.574","1.434","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","10.7","1.607","1.599","1.417","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","13.2","1.632","1.624","1.358","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","15.7","1.657","1.648","1.402","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","18.2","1.682","1.673","1.347","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","20.7","1.707","1.698","1.4","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","23.2","1.732","1.723","1.364","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","25.7","1.757","1.748","1.238","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
"349","U1431","A","1","H","4","","28.2","1.782","1.773","1.3","2014-02-01 05:20:31","GRA1","WRMSL","SECT5292921","55236721","","",""
